,cod_via,nombre,admon,responsable,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,eje_adicio,eje_adic_2,latitud,longitud,departamento,gcd_departamento
0,2507,ACAPULCO,CONCESION PACIFICO TRES S.A.S  (ODINSA),Concesion ANI,11400,14100,14100,14100,33800,42400,48900,0,0,0,0,4.999048816,-75.858869306,Caldas,17
1,4511,AGUAS NEGRAS,Concesionaria Ruta Del Sol,INVIAS,10500,13300,31200,37400,43900,0,0,0,0,9500,9300,6.645326476,-73.952462155,Santander,68
2,5501,ALBARRACIN,Concesion Briceno - Tunja - Sogamoso,Concesion ANI,8000,8900,23000,28500,33500,0,0,0,0,8200,6800,5.29046083,-73.583519181,Cundinamarca,25
3,4504,ALTAMIRA,Concesion Aliadas para El Progreso,Concesion ANI,8500,9300,19500,24800,27900,0,0,0,0,8700,8400,2.142914046,-75.700592743,Huila,41
4,9010,ALTO PINO,Concesion  Santa Marta Paraguachon S.A,Concesion ANI,9600,14800,11900,18900,27700,44700,56400,0,0,0,0,11.444873653,-72.5423520589999,La Guajira,44
5,4305,ALVARADO,Concesionaria Alternativas Viales  S.A.S,Concesion ANI,10700,11400,11900,12400,26500,36200,39200,0,0,0,0,4.507598856,-74.991632439,Tolima,73
6,6003,AMAGA,Concesion Vial del Pacifico,Concesion ANI,8300,9000,19200,24400,27400,0,0,0,0,8700,8400,6.046953761,-75.659877096,Antioquia,5
10,9006,BAYUNCA,Autopistas del sol,Concesion ANI,8000,8900,19800,26400,30200,0,0,0,0,8700,8400,10.546969409,-75.36516595,Bolivar,13
15,9004,CAIMANERA,Concesion Ruta al Mar,Concesion ANI,12300,18200,18200,18200,19500,28300,28400,0,0,0,0,9.46567699999999,-75.6065059999999,Sucre,70
18,2515,CALAMAR,Concesion Montes de Maria,Concesion ANI,8300,9000,19200,24400,27400,0,0,0,0,8700,8400,10.208126788,-74.944995464,Bolivar,13
19,4509,CAMBAO,Concesion Alto Magdalena,Concesion ANI,9900,14000,19200,25700,36400,59000,67400,0,0,0,0,5.09244884,-74.703815539,Cundinamarca,25
20,2502,CANO,INVIAS,INVIAS,10000,10700,0,0,0,0,0,0,0,9400,9100,1.425456082,-77.2844524359999,Narino,52
22,45A04,CASABLANCA,INVIAS,INVIAS,8200,8900,22900,28500,33300,0,0,0,0,9500,9300,5.104394194,-73.9128277439999,Cundinamarca,25
23,4008,CASETABLA,Concesion Coviandes,Concesion ANI,4400,4800,4800,4800,19700,25000,28100,0,0,0,0,4.112654617,-72.83478884,Meta,50
25,2301,CENCAR,INVIAS,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,10000,19800,3.557383478,-76.4625707269999,Valle del Cauca,76
26,2506,CERRITOS II,Concesionaria de Occidente,Concesion ANI,12000,13800,34000,44600,51000,0,0,0,0,15200,15000,4.793408209,-75.859962863,Risaralda,66
27,4004B,CHICORAL,Concesionaria San Rafael  S.A.,Concesion ANI,10800,11800,10800,14100,28400,38000,41800,0,0,9700,9500,4.245525822,-74.8804843679999,Tolima,73
30,2505,CIAT,INVIAS,INVIAS,8700,10400,28100,36400,41900,0,0,0,0,10000,19800,3.523539983,-76.3431637289999,Valle del Cauca,76
31,2901,CIRCASIA,Concesion Autopistas del cafe,Concesion ANI,13800,17600,17600,17600,42900,52600,58600,0,0,0,0,4.698355839,-75.606108715,Quindio,63
32,6206,CISNEROS,Concesion Vias del Nus  VINUS S.A.S,Concesion ANI,8300,8900,8900,8900,18800,23900,27000,0,0,8700,8400,6.536330315,-75.0747773819999,Antioquia,5
33,6005,COCORNA,,INVIAS,12100,19100,16700,20800,41600,59300,59300,0,0,0,0,6.124607098,-75.243039628,Antioquia,5
34,4002,COROZAL,AUTOPISTAS DEL CAFE,Concesion ANI,10400,12600,12600,12600,30700,38400,44600,0,0,0,0,4.407960397,-75.899870737,Valle del Cauca,76
37,2502,DAZA,INVIAS,INVIAS,0,0,22200,29100,33600,0,0,0,0,9400,9100,1.282159377,-77.269496511,Narino,52
41,2515,EL CARMEN,Autopista de la sabana,Concesion ANI,8800,9600,20100,25600,28800,0,0,0,0,8700,8400,9.681300323,-75.125421059,Bolivar,13
43,4517,EL COPEY,Yuma concecionaria,Concesion ANI,7900,8700,20300,26700,30900,0,0,0,0,9500,9100,10.060363098,-73.923828872,Cesar,20
46,8002,EL DIFICIL,Concesion (Yuma),Concesion ANI,9200,11400,24100,34100,36600,0,0,0,0,9000,8700,9.831146645,-74.2677507989999,Magdalena,47
47,9009,EL EBANAL,Concesion  Santa Marta - Paraguachon S.A .,Concesion ANI,9600,14800,11900,18900,27700,44700,56400,0,0,0,0,11.276216625,-73.1221077809999,La Guajira,44
48,,EL ESCOBAL,Concesionaria San Simon S.A,Concesion ANI,2000,2000,2000,2000,2000,0,0,0,0,2000,0,7.91059804,-72.4694500229999,Norte de Santander,54
49,5008B,EL KORAN,CONCESION HELIOS,Concesion ANI,12800,18000,25400,53100,66000,78300,0,0,0,9100,8800,5.497131704,-74.6137295909999,Cundinamarca,25
52,5501,EL ROBLE,CONCESION BRICENO  TUNJA  SOGAMOSO,Concesion ANI,8000,8900,23000,28500,33500,0,0,0,0,8200,6800,5.031298851,-73.8398406019999,Cundinamarca,25
54,2505,ESTAMBUL,INVIAS,INVIAS,8700,10400,28100,36400,41900,0,0,0,0,10000,19800,3.500722199,-76.443027164,Valle del Cauca,76
59,7006,GAMARRA,,INVIAS,7900,8900,18800,23800,27300,0,0,0,0,8400,8100,8.329119646,-73.6920491409999,Cesar,20
60,9005,GAMBOTE,Ruta Caribe,Concesion ANI,8000,8900,19800,26400,30200,0,0,0,0,8700,8400,10.136133126,-75.2642897559999,Bolivar,13
61,4404,GUALANDAY,Concesionaria San Rafael S.A.,Concesion ANI,9800,11600,27600,37100,40900,0,0,0,0,9500,9000,4.300428797,-75.050032912,Tolima,73
62,6004,GUARNE,Concesion Devimed,Concesion ANI,12000,20900,16700,20900,41600,59300,59300,0,0,0,0,6.327897805,-75.5156750449999,Antioquia,5
63,4508,GUATAQUI,Concesion Alto Magdalena,Concesion ANI,9700,14000,19200,25700,36400,59000,67400,0,0,0,0,4.528736858,-74.789048928,Cundinamarca,25
65,5007,HONDA,Concesionaria Alternativas Viales SAS.,Concesion ANI,10700,11400,11900,12400,26500,36200,39200,0,0,0,0,5.201507469,-74.8203445129999,Tolima,73
68,2513,LA APARTADA,Concesion Ruta al Mar,Concesion ANI,12600,18600,18600,18600,33600,53600,61800,0,0,0,0,8.03128060599999,-75.3017196299999,Cordoba,23
69,5009,LA CABANA,PERIMETRAL ORIENTAL DE BOGOTA S.A.S,Concesion ANI,9600,15100,23400,34300,46900,47300,0,0,0,8700,8400,4.809532136,-73.9455328669999,Cundinamarca,25
70,25SC01,LA ESPERANZA,Concesion Autopistas de la Sabana Cordoba - Sucre,Concesion ANI,8200,8900,19200,24300,27400,0,0,0,0,8700,8400,9.430745196,-75.435949553,Sucre,70
72,6602,LA GOMEZ,INVIAS,INVIAS,10500,13300,31200,37400,43900,0,0,0,0,9500,9300,7.397175967,-73.546519196,Santander,68
75,4516,LA LOMA,Concesion Yuma,Concesion ANI,8100,9000,19500,25100,28500,0,0,0,0,9000,8700,9.638016517,-73.639398377,Cesar,20
77,7010,LA PARADA,Concesionaria San Simon S.A,Concesion ANI,2000,2000,2000,2000,2000,0,0,0,0,2000,0,7.867456472,-72.4841646389999,Norte de Santander,54
78,25B01,LA PINTADA,Concesion Pacifico Tres S.A.S.,Concesion ANI,8300,9000,19200,24400,27400,0,0,0,0,8700,8400,5.749465359,-75.627285959,Antioquia,5
81,2515,LAS FLORES,Concesion Autopistas de la Sabana Cordoba - Sucre,Concesion ANI,4500,12000,18600,23600,27100,0,0,0,0,0,0,9.318846937,-75.319953823,Sucre,70
82,5601,LAS PALMAS,Concesion Tunel Aburra - Oriente S.A.,Concesion ANI,8700,10500,10500,10500,23300,31400,35100,0,0,0,0,6.150673018,-75.531257389,Antioquia,5
84,6602,LEBRIJA,DEPARTAMENTO,Departamento,7200,8200,19600,26000,29800,0,0,0,0,0,0,7.103127117,-73.1886115979999,Santander,68
86,5505,LOS ACACIOS,CONCESION UNION  VIAL RIO PAMPLONITA,Concesion ANI,6100,8700,19500,25100,28500,0,0,0,0,8800,8500,7.72138208,-72.571317006,Norte de Santander,54
87,4505,LOS CAUCHOS,Concesion Aliadas para El Progreso,Concesion ANI,8300,9000,19200,24400,27400,0,0,0,0,8700,8400,2.785583797,-75.301936087,Huila,41
89,45A07,LOS CUROS,Invias,INVIAS,8200,8900,22900,28500,33300,0,0,0,0,9500,9300,6.825634367,-72.9994818689999,Santander,68
96,5607,MACHETA,CONCESION DEL SISGA S.A.S.,Concesion ANI,8500,9200,19500,24700,27700,0,0,0,0,8700,8400,5.077262984,-73.553427995,Cundinamarca,25
97,90A01,MARAHUACO,Consorcio via al mar,Concesion ANI,11300,17200,12300,21800,68700,91800,101900,0,0,0,0,10.574535056,-75.450559224,Bolivar,13
98,2103,MATA DE CANA,Concesion Ruta al Mar,Concesion ANI,12300,18200,18200,18200,19500,28300,28400,0,0,0,0,9.09142566699999,-75.819879481,Cordoba,23
99,2301,MEDIACANOA,INVIAS,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,10000,19800,3.759985933,-76.411386295,Valle del Cauca,76
101,4514,MORRISON,Concesion ruta el sol,INVIAS,9400,10300,21400,27400,31200,0,0,0,0,9500,9300,8.09234872999999,-73.5600149219999,Cesar,20
106,45A06,OIBA,Invias,INVIAS,8200,8900,22900,28500,33300,0,0,0,0,9500,9300,6.178236419,-73.333289569,Santander,68
107,4515,PAILITAS,INVIAS,INVIAS,9400,10300,21400,27400,31200,0,0,0,0,9500,9300,8.85280385399999,-73.669722163,Cesar,20
109,,PALMITAS,DESARROLLO VIAL AL MAR SAS,Concesion ANI,16200,18300,39900,51900,62100,0,0,0,0,6300,0,6.326315113,-75.688606561,Antioquia,5
111,90A01,PAPIROS,Consorcio via al mar,Concesion ANI,4800,5700,11400,20200,63600,85000,94400,0,0,0,0,11.0126997269999,-74.889588094,Atlantico,8
112,9010,PARAGUACHON,Concesion  Santa Marta Paraguachon S.A.,Concesion ANI,9600,14800,11900,18900,27700,44700,56400,0,0,0,0,11.3676031319999,-72.156672665,La Guajira,44
113,90BLB,PASACABALLOS,AUTOPISTAS DEL SOL S.A.,Concesion ANI,8100,8800,18700,24400,28300,28300,28300,0,0,0,0,10.243425366,-75.4439447569999,Bolivar,13
114,23VL02,PASO DE LA TORRE,INVIAS,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,10000,19800,3.627598229,-76.457670289,Valle del Cauca,76
118,4006,PIPIRAL,Concesion Coviandes S.A.,Concesion ANI,16600,33000,22500,39400,43000,65800,85100,0,0,0,0,4.200062781,-73.72128811,Meta,50
119,7007,PLATANAL,Concesion ruta el sol,INVIAS,7900,8900,18800,23800,27300,0,0,0,0,8400,8100,8.23123833,-73.4985723359999,Cesar,20
122,8002,PUENTE PLATO,Concesion (Yuma),Concesion ANI,9200,11400,24100,34100,36600,0,0,0,0,9000,8700,9.791365729,-74.8089450709999,Magdalena,47
124,6206,PUERTO BERRIO,Concesion Autopistas del Rio Magdalena,Concesion ANI,8500,9300,19500,24800,27900,0,0,0,0,8700,8400,6.496649662,-74.501328246,Antioquia,5
125,90A01,PUERTO COLOMBIA,Consorcio via al mar,Concesion ANI,11300,17200,12300,21800,68700,91800,101900,0,0,0,0,10.9675632479999,-74.956105457,Atlantico,8
131,4901,RINCON HONDO,INVIAS,INVIAS,9300,9900,10800,11500,12400,35600,40800,0,0,0,0,9.431032001,-73.4735521479999,Cesar,20
133,5008A,RIO BOGOTA,CONCESION CCFC S.A,Concesion ANI,8000,12000,10400,13900,23600,31900,34500,0,0,0,0,4.698590601,-74.179429408,Cundinamarca,25
135,6602,RIO SOGAMOSO,RUTA DEL CACAO,Concesion ANI,8500,9300,19500,24800,27900,0,0,0,0,8700,8400,7.118249043,-73.4405437559999,Santander,68
136,45A08,RIONEGRO,DEPARTAMENTO,Departamento,7200,8200,19600,26000,29800,0,0,0,0,0,0,7.243267526,-73.149403777,Santander,68
137,2505B,ROZO,INVIAS,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,10000,19800,3.643852209,-76.3811564429999,Valle del Cauca,76
138,2516,SABANAGRANDE,Consorcio Ruta Caribe,Concesion ANI,8500,9200,20200,26400,30500,0,0,0,0,8700,8400,10.7995816369999,-74.75900513,Atlantico,8
139,45A05,SABOYA,INVIAS,INVIAS,8200,8900,22900,28500,33300,0,0,0,0,9500,9300,5.727864796,-73.7446658789999,Boyaca,15
142,3306,SAN CARLOS,Consecion Ruta al Mar,Concesion ANI,12300,18200,18200,19500,19500,28300,28700,0,0,0,0,8.772659788,-75.7423831539999,Cordoba,23
144,,SAN CRISTOBAL,DESARROLLO VIAL AL MAR SAS,Concesion ANI,16200,18300,39900,51900,62100,0,0,0,0,6300,0,6.29706501,-75.6540489599999,Antioquia,5
145,4901,SAN DIEGO,INVIAS,INVIAS,4600,5000,5500,5900,12300,35600,40500,0,0,0,0,10.121725825,-73.238637775,Cesar,20
147,4902,SAN JUAN,INVIAS,INVIAS,9300,9900,10800,11500,12400,35600,40800,0,0,0,0,10.8000159329999,-72.9755403249999,La Guajira,44
149,9005,SAN ONOFRE,Concesion Ruta al Mar,Concesion ANI,12600,18600,18600,18600,33600,53600,61800,0,0,0,0,9.863519254,-75.39905269,Sucre,70
152,5008,SIBERIA,CONCESION SABANA DE OCCIDENTE,Concesion ANI,10000,14300,12000,16000,28100,37700,41400,5200,7200,0,0,4.780359837,-74.185047772,Cundinamarca,25
153,2508,SUPIA,Concesion Pacifico Tres,Concesion ANI,8300,9000,19200,24400,27400,0,0,0,0,8700,8400,5.391597876,-75.599995129,Caldas,17
154,2902,TARAPACA I,CONCESION AUTOPISTAS DEL CAFE,Concesion ANI,11500,15200,15200,15200,38100,50400,56300,0,0,0,0,4.939047486,-75.616601938,Caldas,17
155,29RSC,TARAPACA II,Concesion Autopistas del Cafe,Concesion ANI,11500,15200,15200,15200,38100,50400,56300,0,0,0,0,4.950098818,-75.6186822159999,Risaralda,66
159,4518,TUCURINCA,Concesion (Yuma),Concesion ANI,8500,9400,21900,28800,33400,0,0,0,0,10300,9800,10.608947214,-74.1684537969999,Magdalena,47
160,2504,TUNIA,INVIAS,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,10000,19800,2.701690113,-76.536811321,Cauca,19
161,9005,TURBACO,Ruta Caribe,Concesion ANI,3100,7600,9300,0,0,0,0,0,0,0,0,10.356975453,-75.443416135,Bolivar,13
162,5502,TUTA,Concesion Briceno - Tunja - Sogamoso,Concesion ANI,8000,8900,23000,28500,33500,0,0,0,0,8200,6800,5.6568966,-73.278439078,Boyaca,15
165,8003,VALENCIA,Yuma concecionaria,Concesion ANI,8100,9000,19500,25100,28500,0,0,0,0,9000,8700,10.259705901,-73.430869544,Cesar,20
169,2504,VILLARICA,INVIAS,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,9600,19000,3.151233082,-76.460031834,Cauca,19
170,4511,ZAMBITO,Concesionaria Ruta Del Sol,INVIAS,10500,13300,31200,37400,43900,0,0,0,0,9500,9300,6.294713993,-74.456991837,Santander,68
