,sigla,iata,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,orientacion,elevacion,resolucion,fecha_construccion,fecha_vigencia,clase,tipo,numero_vuelos_origen,gcd_departamento,gcd_municipio
0,4JC,,JUANCHACO,Buenaventura,Valle del Cauca,Aeródromo,,,,,,,,,,,,,,,24.0,76,76109
1,7FO,,LA ISLA,Puerto Gaitán,Meta,Aeródromo,4.4211,-71.6271,LA ISLA Y EL ROSARIO S.A.,LA CEIBA S.A.,800.0,10.0,3000.0,,538.0," 1325,000",2015-06-05,2018-06-11,1A,Privado,2.0,50,50568
2,7FU,,LA ESCONDIDA,Puerto Gaitán,Meta,Aeródromo,4.6108,-71.1935,PALMAS SICARARE S.A.S.,COSARGO S.A.S.,1300.0,18.0,5000.0,,564.0," 1843,000",2013-04-26,2016-05-07,1A,Fumigación,30.0,50,50568
3,7FW,,MORICHITO,Hato Corozal,Casanare,Aeródromo,5.9188,-71.7932,CARMEN NARANJO,ROBERTO C. RIAÑO P.,800.0,15.0,3500.0,,720.0," 2220,000",2009-05-07,,1A,Privado,,85,85125
4,7FX,,CAROLINA DEL PRINCIPE,Carolina,Antioquia,Aeródromo,6.7248,-75.2909,MUNICIPIO,MUNICIPIO,400.0,16.0,1000.0,,6004.0," 6470,000",2013-11-19,,1A,Público,,5,5150
5,7FY,,DUBAI,Ayapel,Córdoba,Aeródromo,8.296,-75.0307,ANDRES D. LONDOÑO T.,ANDRES D. LONDOÑO T.,350.0,10.0,500.0,,82.0," 1212,000",2013-03-20,,1A,Privado,,23,23068
6,7FZ,,EL TRIUNFO,Orocué,Casanare,Aeródromo,4.8095,-71.667,ERNESTO J. PEREZ VILLAMIZAR,EL MISMO,880.0,15.0,3000.0,,475.0," 5532,000",2014-11-11,,1A,Privado,2.0,85,85230
7,7GA,,BARU - HIDROPUERTO,Cartagena de Indias,Bolívar,Aeródromo,10.2321,-75.5877,MAURICIO E. VASQUEZ M.,EL MISMO,450.0,20.0,500.0,,0.0," 6067,000",2012-10-25,2015-11-07,1A,Privado,,13,13001
8,7GB,,LA CAROLINA,El Paso,Cesar,Aeródromo,9.528,-73.7866,JORGE AGUDELO RESTREPO,JORGE AGUDELO REST.,350.0,10.0,500.0,,690.0," 5474,000",2009-10-06,,UL,Privado,,20,20250
9,7GC,,SAN FELIPE DEL PAUTO,Trinidad,Casanare,Aeródromo,5.2032,-70.8951,AGRAS S.A.S,AGRAS S.A.S,720.0,10.0,3000.0,,3125.0," 4505,000",2012-08-16,,1A,Privado,153.0,85,85430
10,7GD,,VELASQUEZ,Puerto Boyacá,Boyacá,Aeródromo,5.9482,-74.4575,FAC,MANSAROVAR,1500.0,18.0,10000.0,,617.0," 2135,000",2013-05-16,,3C,Privado,2325.0,15,15572
11,7GE,,LUCITANIA,Orocué,Casanare,Aeródromo,4.6954,-71.589,AGROPECUARIA CRAVO SUR,AGROPECUARIA CRAVO SUR,650.0,18.0,3000.0,,443.0," 1051,000",2014-02-28,2017-03-03,1A,Privado,,85,85230
12,7GF,,LA UNION,Paz de Ariporo,Casanare,Aeródromo,5.6283,-70.7032,MARTHA Y. VARGAS DE R.,GEOPARK CUERVA,640.0,18.0,3500.0,,335.0," 2136,000",2013-05-16,,1A,Privado,1122.0,85,85250
13,7GG,,LA ILUSION,Maní,Casanare,Aeródromo,4.5805,-72.4282,SIGRA S.A.,SIGRA S.A.,890.0,18.0,3500.0,,574.0," 1944,000",2013-05-03,2016-05-10,1A,Privado,2.0,85,85139
14,7GH,,LA VENTUROSA,Puerto Carreño,Vichada,Aeródromo,6.1391,-68.7779,MUNICIPIO,GOBERNACION,1000.0,12.0,9500.0,,246.0," 6782,000",2013-12-05,,1A,Público,54.0,99,99001
15,7GI,,GUAYABAL DEL CRAVO,Orocué,Casanare,Aeródromo,4.7223,-71.5943,KLAUS PUTH ARANGUREN,KLAUS PUTH ARANGUREN,750.0,12.0,2500.0,,442.0," 3710,000",2013-07-24,2016-08-01,1A,Privado,1.0,85,85230
16,7GK,,LAS VIOLETAS- CA,Castilla la Nueva,Meta,Aeródromo,3.8519,-73.7286,FRANCELINA CADENA,AEROCLUB DEL META,350.0,10.0,500.0,,609.0," 4132,000",2010-08-19,,UL,Privado,,50,50150
17,7GL,,LA JAGUA,La Jagua de Ibirico,Cesar,Aeródromo,9.5905,-73.2886,CARBONES DE LA JAGUA S.A.,CARBO. DE LA JAGUA S.A.,1200.0,18.0,7500.0,,787.0,"  171,000",2015-01-27,2018-02-06,2A,Privado,1070.0,20,20400
18,7GN,,LOS MANGOS,Ayapel,Córdoba,Aeródromo,8.2956,-75.0987,MANUEL LOPEZ ORTEGA,MANUEL LOPEZ ORTEGA,200.0,10.0,500.0,,90.0," 5190,000",2013-09-24,,UL,Privado,,23,23068
19,7GO,,MATABRAVA,San Luis de Palenque,Casanare,Aeródromo,5.2132,-71.6915,FRANCISCA REYES DIAZ,FRANCISCA REYES DIAZ,600.0,10.0,2000.0,,524.0," 5966,000",2014-12-15,,1A,Privado,1.0,85,85325
20,7GP,,EL PORVENIR - CA,Pijiño del Carmen,Magdalena,Aeródromo,9.491,-74.1909,LA CEIBA S.A.,LA CEIBA S.A.,300.0,10.0,500.0,,176.0,"  236,000",2014-01-21,,UL,Privado,,47,47545
21,7GQ,,LA PROVINCIA,Paz de Ariporo,Casanare,Aeródromo,5.6918,-70.11,CARLOS H. MONTENEGRO,CARLOS H. MONTENEGRO,670.0,15.0,2500.0,,430.0,"  399,000",2014-01-31,,1A,Privado,,85,85250
22,7GS,,EL ENCANTO,Cumaribo,Vichada,Aeródromo,4.6934,-70.9078,JUAN AQUILINO PEREZ P.,EL ENCANTO 1 S.A.S.,1200.0,20.0,5000.0,,544.0," 5964,000",2014-12-15,,1A,Fumigación,376.0,99,99773
23,7GU,,HATO GARIBAY,Maní,Casanare,Aeródromo,4.4656,-72.3273,AGROPECUARIA LA TAGUA,ROBERTO HERRERA OBREGON,750.0,10.0,5500.0,,482.0," 4212,000",2014-08-06,,1A,Privado,,85,85139
24,7GV,,REPRESA DE LAS CANARIAS,Paz de Ariporo,Casanare,Aeródromo,5.7658,-71.2503,OLGA BRAVO DE CANTOR,OLGA BRAVO DE CANTOR,610.0,15.0,3500.0,,652.0," 5236,000",2014-10-14,2017-12-01,1A,Privado,6.0,85,85250
25,7GX,,LA ATARRAYA - CA.,Ayapel,Córdoba,Aeródromo,8.2857,-75.0963,FELIPE BRAVO BOTERO,FELIPE BRAVO BOTERO,210.0,10.0,500.0,,91.0," 5714,000",2014-11-25,,UL,Privado,,23,23068
26,7GY,,LAS ACACIAS,Nemocón,Cundinamarca,Aeródromo,5.0949,-73.9054,JUAN BERNANDO SANINT G,EL MISMO,1350.0,20.0,10000.0,,8431.0,"  439,000",2015-02-27,2018-03-05,3A,Privado,,25,25486
27,7GZ,,COROZITO,Maní,Casanare,Aeródromo,4.6701,-72.0994,INVERSIONES LA PALMERA DE COROZITO,INV.LA PALMERA DE COROZITO,1200.0,18.0,,,497.0,"  832,000",2015-04-14,,2A,Privado,161.0,85,85139
28,7HA,,EL CONDOR,Flandes,Tolima,Aeródromo,4.2595,-74.8308,AEROTURBO DE COLOMBIA,LUIS FDO. BARRETO CAVIEDES,280.0,10.0,500.0,,992.0," 5730,000",2012-10-09,2015-12-03,UL,Privado,,73,73275
29,7HB,,HOTEL SAN DIEGO,Puerto Gaitán,Meta,Aeródromo,3.7693,-71.8179,MADYGAN S.A.S.,MADYGAN S.A.S.,800.0,18.0,4000.0,,725.0," 6730,000",2012-11-26,2015-12-03,2A,Privado,92.0,50,50568
30,7HC,,EL CAFUCHE,La Primavera,Vichada,Aeródromo,5.3152,-70.0184,ANDRES CARVAJAL MOLINA,ANDRES CARVAJAL MOLINA,850.0,18.0,4000.0,,384.0," 3826,000",2013-07-30,2016-08-01,1A,Privado,1.0,99,99524
31,7HD,,BOSQUES DE LA PRIMAVERA,La Primavera,Vichada,Aeródromo,5.3489,-69.7467,MARIA A. RIVERA AGUDELO,MARIA A. RIVERA AGUDELO,800.0,18.0,3000.0,,396.0," 1444,000",2015-06-17,,1A,Privado,,99,99524
32,7HE,,GUACHARACAS (COLOMBAIMA),Beltrán,Cundinamarca,Aeródromo,4.7371,-74.8021,EMPRESA GUACHARACAS,CCA. LTDA,700.0,10.0,3000.0,,797.0," 5920,000",2012-10-19,,1A,Privado,1.0,25,25086
33,7HF,,GAVILAN DE LA PASCUA,La Primavera,Vichada,Aeródromo,5.1166,-70.3806,RESGUARDO INDIGENA ORIPGA,RES. INDIGENA ORIPGA,1200.0,15.0,3500.0,,419.0," 7257,000",2012-12-20,,1A,Público,85.0,99,99524
34,7HG,,DOROTEA B1,Paz de Ariporo,Casanare,Aeródromo,5.5122,-71.0248,NEW GRANADA ENERGY,NEW GRANADA ENERGY,1000.0,18.0,,,404.0," 2362,000",2013-05-27,,2A,Privado,1029.0,85,85250
35,7HH,,HORIZONTES,Piedecuesta,Santander,Aeródromo,7.0017,-73.1037,DESARROLLOS METROPOLITANOS,DESARROLLOS METROPOLITANOS,610.0,12.0,3500.0,,4195.0," 5186,000",2013-09-24,,1A,Privado,,68,68547
36,7HJ,,MACOLLA,Maní,Casanare,Aeródromo,4.7713,-72.0714,GRAMERCY S.A.S.,AGROPECUARIA CACOLLA S.A.S.,950.0,18.0,5000.0,,548.0," 2134,000",2013-05-16,,1A,Privado,12.0,85,85139
37,7HK,,MULETOS- CA,Maní,Casanare,Aeródromo,4.5549,-72.1753,MULETOS S.A.S.,MULETOS S.A.S.,350.0,10.0,500.0,,790.0," 2142,000",2013-05-16,,UL,Privado,,85,85139
38,7HL,,LA MAPORA,Pore,Casanare,Aeródromo,5.6459,-71.9887,PAULA ANDREA CANO A.,PAULA ANDREA CANO,350.0,10.0,500.0,,497.0," 2199,000",2013-05-17,,1A,Privado,,85,85263
39,7HM,,LLANO CAUCHO,Cumaribo,Vichada,Aeródromo,4.4355,-70.6954,AGROINDUSTRIALES DEL ORIENTE,AGROINVERSIONES DEL ORIENTE S.A.S,900.0,15.0,12000.0,,434.0," 5189,000",2013-09-24,,1A,Privado,10.0,99,99773
40,7HN,,ARMENIA,Paz de Ariporo,Casanare,Aeródromo,5.787,-70.1835,LUIS JOSE CALA LOPEZ,LUIS JOSE CALA LOPEZ,800.0,15.0,3000.0,,380.0," 4734,000",2013-09-06,,1A,Privado,,85,85250
41,7HO,,EDGAR CALDAS POTES-CA,Calima,Valle del Cauca,Aeródromo,3.9159,-76.4813,ALEJANDRO A. CALDAS V.,ALEJANDRO A. CALDAS V.,350.0,10.0,400.0,,1462.0," 1311,000",2014-03-13,,1A,Privado,,76,76126
42,7HQ,,GENERAL ADELMO RUIZ M.,Ricaurte,Cundinamarca,Aeródromo,4.35,-74.7511,EDUARDO A. VIVEROS,ACAF,210.0,15.0,500.0,,987.0,"   46,000",2014-01-08,,1A,Privado,,25,25612
43,7HR,,RANCHO COLIBRI - CA,Roldanillo,Valle del Cauca,Aeródromo,4.4586,-76.1258,HENRY D. F. ORTIZ SILVA,HENRY D. F. ORTIZ SILVA,215.0,10.0,500.0,,3083.0," 7091,000",2013-12-19,2017-01-09,1A,Privado,,76,76622
44,7HS,,CASTILLO - CA,Manatí,Atlántico,Aeródromo,10.4089,-74.9963,DIANA MARIA SOLANO D.,DIANA MARIA SOLANO D.,360.0,10.0,500.0,,20.0,"  706,000",2014-02-12,,1A,Privado,,8,8436
45,7HT,,MANARE,Paz de Ariporo,Casanare,Aeródromo,5.9761,-70.1575,HERNAN GOMEZ NIÑO,HERNAN GOMEZ NIÑO,1100.0,23.0,4000.0,,334.0," 1577,000",2014-03-26,,1A,Privado,19.0,85,85250
46,7HU,,GUANAGUANARE,La Primavera,Vichada,Aeródromo,5.4739,-69.9014,INVERSIONES GUANAGUANARE,INV. GUANAGUANARE,800.0,10.0,5000.0,,400.0," 2132,000",2014-04-25,,1A,Privado,,99,99524
47,7HV,,LA BENDICION,La Primavera,Vichada,Aeródromo,6.0627,-69.1783,SERGIO ANDRES ESPINOSA F.,SERGIO A. ESPINOSA FLOREZ,1200.0,15.0,5000.0,,360.0," 2498,000",2014-05-12,,1A,Privado,47.0,99,99524
48,7HW,,CABARALEZ,Puerto Wilches,Santander,Aeródromo,7.3283,-73.7965,RICARDO FIGUEREDO M.,RICARDO FOGUEREDO M.,700.0,12.0,3500.0,,324.0," 3060,000",2014-06-10,,1A,Privado,,68,68575
49,7HX,,PIVIJAY,La Primavera,Vichada,Aeródromo,5.1288,-69.9716,FERNANDO CUSTAS PATACON,FERNANDO CUSTAS P.,900.0,20.0,3500.0,,426.0," 3063,000",2014-06-10,,1A,Privado,8.0,99,99524
50,7HY,,HOTEL DEL CAMPO - CA,Quimbaya,Quindío,Aeródromo,4.6123,-75.8132,JUAN B. URIBE S.,LUIS BERRENECHE RIVERA,180.0,10.0,500.0,,3828.0," 2492,000",2014-05-12,2017-07-09,1A,Privado,,63,63594
51,7HZ,,MAXIMENA,Maní,Casanare,Aeródromo,4.4723,-72.1094,PALMERAS MAXIMENA S.A.S,PALMERAS MAXIMENA,1300.0,18.0,5000.0,,426.0," 4213,000",2014-08-06,,1A,Privado,,85,85139
52,7IA,,MURIBA,Maní,Casanare,Aeródromo,4.5809,-72.2551,VITIS OLEI S.A.S.,VITIS OLEI S.A.S.,1300.0,18.0,5000.0,,432.0," 4214,000",2014-08-06,,1A,Privado,,85,85139
