,sigla,nombre,municipio,departamento,categoria,latitud,longitud,propietario,explotador,longitud_pista,ancho_pista,pbmo,elevacion,resolucion,clase,tipo,gcd_departamento,gcd_municipio
0,4JC,JUANCHACO,Buenaventura,Valle del Cauca,Aeródromo,,,,,,,,,,,,76,76109
1,7FO,LA ISLA,Puerto Gaitán,Meta,Aeródromo,4.4211,-71.6271,LA ISLA Y EL ROSARIO S.A.,LA CEIBA S.A.,800.0,10.0,3000.0,538.0," 1325,000",1A,Privado,50,50568
2,7FU,LA ESCONDIDA,Puerto Gaitán,Meta,Aeródromo,4.6108,-71.1935,PALMAS SICARARE S.A.S.,COSARGO S.A.S.,1300.0,18.0,5000.0,564.0," 1843,000",1A,Fumigación,50,50568
3,7FZ,EL TRIUNFO,Orocué,Casanare,Aeródromo,4.8095,-71.667,ERNESTO J. PEREZ VILLAMIZAR,EL MISMO,880.0,15.0,3000.0,475.0," 5532,000",1A,Privado,85,85230
4,7GC,SAN FELIPE DEL PAUTO,Trinidad,Casanare,Aeródromo,5.2032,-70.8951,AGRAS S.A.S,AGRAS S.A.S,720.0,10.0,3000.0,3125.0," 4505,000",1A,Privado,85,85430
5,7GD,VELASQUEZ,Puerto Boyacá,Boyacá,Aeródromo,5.9482,-74.4575,FAC,MANSAROVAR,1500.0,18.0,10000.0,617.0," 2135,000",3C,Privado,15,15572
6,7GF,LA UNION,Paz de Ariporo,Casanare,Aeródromo,5.6283,-70.7032,MARTHA Y. VARGAS DE R.,GEOPARK CUERVA,640.0,18.0,3500.0,335.0," 2136,000",1A,Privado,85,85250
7,7GG,LA ILUSION,Maní,Casanare,Aeródromo,4.5805,-72.4282,SIGRA S.A.,SIGRA S.A.,890.0,18.0,3500.0,574.0," 1944,000",1A,Privado,85,85139
8,7GH,LA VENTUROSA,Puerto Carreño,Vichada,Aeródromo,6.1391,-68.7779,MUNICIPIO,GOBERNACION,1000.0,12.0,9500.0,246.0," 6782,000",1A,Público,99,99001
9,7GI,GUAYABAL DEL CRAVO,Orocué,Casanare,Aeródromo,4.7223,-71.5943,KLAUS PUTH ARANGUREN,KLAUS PUTH ARANGUREN,750.0,12.0,2500.0,442.0," 3710,000",1A,Privado,85,85230
10,7GL,LA JAGUA,La Jagua de Ibirico,Cesar,Aeródromo,9.5905,-73.2886,CARBONES DE LA JAGUA S.A.,CARBO. DE LA JAGUA S.A.,1200.0,18.0,7500.0,787.0,"  171,000",2A,Privado,20,20400
11,7GO,MATABRAVA,San Luis de Palenque,Casanare,Aeródromo,5.2132,-71.6915,FRANCISCA REYES DIAZ,FRANCISCA REYES DIAZ,600.0,10.0,2000.0,524.0," 5966,000",1A,Privado,85,85325
12,7GS,EL ENCANTO,Cumaribo,Vichada,Aeródromo,4.6934,-70.9078,JUAN AQUILINO PEREZ P.,EL ENCANTO 1 S.A.S.,1200.0,20.0,5000.0,544.0," 5964,000",1A,Fumigación,99,99773
13,7GV,REPRESA DE LAS CANARIAS,Paz de Ariporo,Casanare,Aeródromo,5.7658,-71.2503,OLGA BRAVO DE CANTOR,OLGA BRAVO DE CANTOR,610.0,15.0,3500.0,652.0," 5236,000",1A,Privado,85,85250
14,7GY,LAS ACACIAS,Nemocón,Cundinamarca,Aeródromo,5.0949,-73.9054,JUAN BERNANDO SANINT G,EL MISMO,1350.0,20.0,10000.0,8431.0,"  439,000",3A,Privado,25,25486
15,7GZ,COROZITO,Maní,Casanare,Aeródromo,4.6701,-72.0994,INVERSIONES LA PALMERA DE COROZITO,INV.LA PALMERA DE COROZITO,1200.0,18.0,,497.0,"  832,000",2A,Privado,85,85139
16,7HB,HOTEL SAN DIEGO,Puerto Gaitán,Meta,Aeródromo,3.7693,-71.8179,MADYGAN S.A.S.,MADYGAN S.A.S.,800.0,18.0,4000.0,725.0," 6730,000",2A,Privado,50,50568
17,7HC,EL CAFUCHE,La Primavera,Vichada,Aeródromo,5.3152,-70.0184,ANDRES CARVAJAL MOLINA,ANDRES CARVAJAL MOLINA,850.0,18.0,4000.0,384.0," 3826,000",1A,Privado,99,99524
18,7HD,BOSQUES DE LA PRIMAVERA,La Primavera,Vichada,Aeródromo,5.3489,-69.7467,MARIA A. RIVERA AGUDELO,MARIA A. RIVERA AGUDELO,800.0,18.0,3000.0,396.0," 1444,000",1A,Privado,99,99524
19,7HE,GUACHARACAS (COLOMBAIMA),Beltrán,Cundinamarca,Aeródromo,4.7371,-74.8021,EMPRESA GUACHARACAS,CCA. LTDA,700.0,10.0,3000.0,797.0," 5920,000",1A,Privado,25,25086
20,7HF,GAVILAN DE LA PASCUA,La Primavera,Vichada,Aeródromo,5.1166,-70.3806,RESGUARDO INDIGENA ORIPGA,RES. INDIGENA ORIPGA,1200.0,15.0,3500.0,419.0," 7257,000",1A,Público,99,99524
21,7HG,DOROTEA B1,Paz de Ariporo,Casanare,Aeródromo,5.5122,-71.0248,NEW GRANADA ENERGY,NEW GRANADA ENERGY,1000.0,18.0,,404.0," 2362,000",2A,Privado,85,85250
22,7HJ,MACOLLA,Maní,Casanare,Aeródromo,4.7713,-72.0714,GRAMERCY S.A.S.,AGROPECUARIA CACOLLA S.A.S.,950.0,18.0,5000.0,548.0," 2134,000",1A,Privado,85,85139
23,7HM,LLANO CAUCHO,Cumaribo,Vichada,Aeródromo,4.4355,-70.6954,AGROINDUSTRIALES DEL ORIENTE,AGROINVERSIONES DEL ORIENTE S.A.S,900.0,15.0,12000.0,434.0," 5189,000",1A,Privado,99,99773
24,7HN,ARMENIA,Paz de Ariporo,Casanare,Aeródromo,5.787000000000001,-70.1835,LUIS JOSE CALA LOPEZ,LUIS JOSE CALA LOPEZ,800.0,15.0,3000.0,380.0," 4734,000",1A,Privado,85,85250
25,7HT,MANARE,Paz de Ariporo,Casanare,Aeródromo,5.9761,-70.1575,HERNAN GOMEZ NIÑO,HERNAN GOMEZ NIÑO,1100.0,23.0,4000.0,334.0," 1577,000",1A,Privado,85,85250
26,7HV,LA BENDICION,La Primavera,Vichada,Aeródromo,6.0627,-69.1783,SERGIO ANDRES ESPINOSA F.,SERGIO A. ESPINOSA FLOREZ,1200.0,15.0,5000.0,360.0," 2498,000",1A,Privado,99,99524
