,Cod_fecha,Anio,Semestre,Cuatrimestre,Trimestre,Mes,Mes_numerico
0,2004_1,2004,1,1,1,Enero,1
1,2004_2,2004,1,1,1,Febreo,2
2,2004_3,2004,1,1,1,Marzo,3
3,2004_4,2004,1,1,2,Abril,4
4,2004_5,2004,1,2,2,Mayo,5
5,2004_6,2004,1,2,2,Junio,6
6,2004_7,2004,2,2,3,Julio,7
7,2004_8,2004,2,2,3,Agosto,8
8,2004_9,2004,2,3,3,Septiembre,9
9,2004_10,2004,2,3,4,Octubre,10
10,2004_11,2004,2,3,4,Noviembre,11
11,2005_12,2005,2,3,4,Diciembre,12
12,2005_1,2005,1,1,1,Enero,1
13,2005_2,2005,1,1,1,Febreo,2
14,2005_3,2005,1,1,1,Marzo,3
15,2005_4,2005,1,1,2,Abril,4
16,2005_5,2005,1,2,2,Mayo,5
17,2005_6,2005,1,2,2,Junio,6
18,2005_7,2005,2,2,3,Julio,7
19,2005_8,2005,2,2,3,Agosto,8
20,2005_9,2005,2,3,3,Septiembre,9
21,2005_10,2005,2,3,4,Octubre,10
22,2005_11,2005,2,3,4,Noviembre,11
23,2006_12,2006,2,3,4,Diciembre,12
24,2006_1,2006,1,1,1,Enero,1
25,2006_2,2006,1,1,1,Febreo,2
26,2006_3,2006,1,1,1,Marzo,3
27,2006_4,2006,1,1,2,Abril,4
28,2006_5,2006,1,2,2,Mayo,5
29,2006_6,2006,1,2,2,Junio,6
30,2006_7,2006,2,2,3,Julio,7
31,2006_8,2006,2,2,3,Agosto,8
32,2006_9,2006,2,3,3,Septiembre,9
33,2006_10,2006,2,3,4,Octubre,10
34,2006_11,2006,2,3,4,Noviembre,11
35,2007_12,2007,2,3,4,Diciembre,12
36,2007_1,2007,1,1,1,Enero,1
37,2007_2,2007,1,1,1,Febreo,2
38,2007_3,2007,1,1,1,Marzo,3
39,2007_4,2007,1,1,2,Abril,4
40,2007_5,2007,1,2,2,Mayo,5
41,2007_6,2007,1,2,2,Junio,6
42,2007_7,2007,2,2,3,Julio,7
43,2007_8,2007,2,2,3,Agosto,8
44,2007_9,2007,2,3,3,Septiembre,9
45,2007_10,2007,2,3,4,Octubre,10
46,2007_11,2007,2,3,4,Noviembre,11
47,2008_12,2008,2,3,4,Diciembre,12
48,2008_1,2008,1,1,1,Enero,1
49,2008_2,2008,1,1,1,Febreo,2
50,2008_3,2008,1,1,1,Marzo,3
51,2008_4,2008,1,1,2,Abril,4
52,2008_5,2008,1,2,2,Mayo,5
53,2008_6,2008,1,2,2,Junio,6
54,2008_7,2008,2,2,3,Julio,7
55,2008_8,2008,2,2,3,Agosto,8
56,2008_9,2008,2,3,3,Septiembre,9
57,2008_10,2008,2,3,4,Octubre,10
58,2008_11,2008,2,3,4,Noviembre,11
59,2009_12,2009,2,3,4,Diciembre,12
60,2009_1,2009,1,1,1,Enero,1
61,2009_2,2009,1,1,1,Febreo,2
62,2009_3,2009,1,1,1,Marzo,3
63,2009_4,2009,1,1,2,Abril,4
64,2009_5,2009,1,2,2,Mayo,5
65,2009_6,2009,1,2,2,Junio,6
66,2009_7,2009,2,2,3,Julio,7
67,2009_8,2009,2,2,3,Agosto,8
68,2009_9,2009,2,3,3,Septiembre,9
69,2009_10,2009,2,3,4,Octubre,10
70,2009_11,2009,2,3,4,Noviembre,11
71,2010_12,2010,2,3,4,Diciembre,12
72,2010_1,2010,1,1,1,Enero,1
73,2010_2,2010,1,1,1,Febreo,2
74,2010_3,2010,1,1,1,Marzo,3
75,2010_4,2010,1,1,2,Abril,4
76,2010_5,2010,1,2,2,Mayo,5
77,2010_6,2010,1,2,2,Junio,6
78,2010_7,2010,2,2,3,Julio,7
79,2010_8,2010,2,2,3,Agosto,8
80,2010_9,2010,2,3,3,Septiembre,9
81,2010_10,2010,2,3,4,Octubre,10
82,2010_11,2010,2,3,4,Noviembre,11
83,2011_12,2011,2,3,4,Diciembre,12
84,2011_1,2011,1,1,1,Enero,1
85,2011_2,2011,1,1,1,Febreo,2
86,2011_3,2011,1,1,1,Marzo,3
87,2011_4,2011,1,1,2,Abril,4
88,2011_5,2011,1,2,2,Mayo,5
89,2011_6,2011,1,2,2,Junio,6
90,2011_7,2011,2,2,3,Julio,7
91,2011_8,2011,2,2,3,Agosto,8
92,2011_9,2011,2,3,3,Septiembre,9
93,2011_10,2011,2,3,4,Octubre,10
94,2011_11,2011,2,3,4,Noviembre,11
95,2012_12,2012,2,3,4,Diciembre,12
96,2012_1,2012,1,1,1,Enero,1
97,2012_2,2012,1,1,1,Febreo,2
98,2012_3,2012,1,1,1,Marzo,3
99,2012_4,2012,1,1,2,Abril,4
100,2012_5,2012,1,2,2,Mayo,5
101,2012_6,2012,1,2,2,Junio,6
102,2012_7,2012,2,2,3,Julio,7
103,2012_8,2012,2,2,3,Agosto,8
104,2012_9,2012,2,3,3,Septiembre,9
105,2012_10,2012,2,3,4,Octubre,10
106,2012_11,2012,2,3,4,Noviembre,11
107,2013_12,2013,2,3,4,Diciembre,12
108,2013_1,2013,1,1,1,Enero,1
109,2013_2,2013,1,1,1,Febreo,2
110,2013_3,2013,1,1,1,Marzo,3
111,2013_4,2013,1,1,2,Abril,4
112,2013_5,2013,1,2,2,Mayo,5
113,2013_6,2013,1,2,2,Junio,6
114,2013_7,2013,2,2,3,Julio,7
115,2013_8,2013,2,2,3,Agosto,8
116,2013_9,2013,2,3,3,Septiembre,9
117,2013_10,2013,2,3,4,Octubre,10
118,2013_11,2013,2,3,4,Noviembre,11
119,2014_12,2014,2,3,4,Diciembre,12
120,2014_1,2014,1,1,1,Enero,1
121,2014_2,2014,1,1,1,Febreo,2
122,2014_3,2014,1,1,1,Marzo,3
123,2014_4,2014,1,1,2,Abril,4
124,2014_5,2014,1,2,2,Mayo,5
125,2014_6,2014,1,2,2,Junio,6
126,2014_7,2014,2,2,3,Julio,7
127,2014_8,2014,2,2,3,Agosto,8
128,2014_9,2014,2,3,3,Septiembre,9
129,2014_10,2014,2,3,4,Octubre,10
130,2014_11,2014,2,3,4,Noviembre,11
131,2015_12,2015,2,3,4,Diciembre,12
132,2015_1,2015,1,1,1,Enero,1
133,2015_2,2015,1,1,1,Febreo,2
134,2015_3,2015,1,1,1,Marzo,3
135,2015_4,2015,1,1,2,Abril,4
136,2015_5,2015,1,2,2,Mayo,5
137,2015_6,2015,1,2,2,Junio,6
138,2015_7,2015,2,2,3,Julio,7
139,2015_8,2015,2,2,3,Agosto,8
140,2015_9,2015,2,3,3,Septiembre,9
141,2015_10,2015,2,3,4,Octubre,10
142,2015_11,2015,2,3,4,Noviembre,11
143,2016_12,2016,2,3,4,Diciembre,12
144,2016_1,2016,1,1,1,Enero,1
145,2016_2,2016,1,1,1,Febreo,2
146,2016_3,2016,1,1,1,Marzo,3
147,2016_4,2016,1,1,2,Abril,4
148,2016_5,2016,1,2,2,Mayo,5
149,2016_6,2016,1,2,2,Junio,6
150,2016_7,2016,2,2,3,Julio,7
151,2016_8,2016,2,2,3,Agosto,8
152,2016_9,2016,2,3,3,Septiembre,9
153,2016_10,2016,2,3,4,Octubre,10
154,2016_11,2016,2,3,4,Noviembre,11
155,2017_12,2017,2,3,4,Diciembre,12
156,2017_1,2017,1,1,1,Enero,1
157,2017_2,2017,1,1,1,Febreo,2
158,2017_3,2017,1,1,1,Marzo,3
159,2017_4,2017,1,1,2,Abril,4
160,2017_5,2017,1,2,2,Mayo,5
161,2017_6,2017,1,2,2,Junio,6
162,2017_7,2017,2,2,3,Julio,7
163,2017_8,2017,2,2,3,Agosto,8
164,2017_9,2017,2,3,3,Septiembre,9
165,2017_10,2017,2,3,4,Octubre,10
166,2017_11,2017,2,3,4,Noviembre,11
167,2018_12,2018,2,3,4,Diciembre,12
168,2018_1,2018,1,1,1,Enero,1
169,2018_2,2018,1,1,1,Febreo,2
170,2018_3,2018,1,1,1,Marzo,3
171,2018_4,2018,1,1,2,Abril,4
172,2018_5,2018,1,2,2,Mayo,5
173,2018_6,2018,1,2,2,Junio,6
174,2018_7,2018,2,2,3,Julio,7
175,2018_8,2018,2,2,3,Agosto,8
176,2018_9,2018,2,3,3,Septiembre,9
