NombreEstacionPeaje,Recaudo,Trafico,Cod_fecha
ACAPULCO,0.0,0.0,2014_01
ACAPULCO,0.0,0.0,2014_02
ACAPULCO,0.0,0.0,2014_03
ACAPULCO,0.0,0.0,2014_04
ACAPULCO,0.0,0.0,2014_05
ACAPULCO,0.0,0.0,2014_06
ACAPULCO,0.0,0.0,2014_07
ACAPULCO,0.0,0.0,2014_08
ACAPULCO,0.0,0.0,2014_09
ACAPULCO,0.0,0.0,2014_10
ACAPULCO,0.0,0.0,2014_11
ACAPULCO,633225900.0,91790.0,2014_12
ACAPULCO,655365800.0,92652.0,2015_01
ACAPULCO,501635500.0,68995.0,2015_02
ACAPULCO,568536100.0,78311.0,2015_03
ACAPULCO,556070200.0,76855.0,2015_04
ACAPULCO,569390900.0,78805.0,2015_05
ACAPULCO,582916900.0,80921.0,2015_06
ACAPULCO,601202029.0,82438.0,2015_07
ACAPULCO,593343500.0,81405.0,2015_08
ACAPULCO,564905500.0,77309.0,2015_09
ACAPULCO,613282500.0,84130.0,2015_10
ACAPULCO,607914900.0,83201.0,2015_11
ACAPULCO,742967950.0,102465.0,2015_12
ACAPULCO,734081100.0,97515.0,2016_01
ACAPULCO,599925400.0,76217.0,2016_02
ACAPULCO,670704200.0,86264.0,2016_03
ACAPULCO,588188700.0,75724.0,2016_04
ACAPULCO,646357200.0,83620.0,2016_05
ACAPULCO,661336500.0,83344.0,2016_06
ACAPULCO,699778100.0,90354.0,2016_07
ACAPULCO,691698200.0,86790.0,2016_08
ACAPULCO,658577400.0,82716.0,2016_09
ACAPULCO,709349700.0,88979.0,2016_10
ACAPULCO,706227000.0,90183.0,2016_11
ACAPULCO,803528400.0,103942.0,2016_12
ACAPULCO,826667600.0,103648.0,2017_01
ACAPULCO,667394100.0,79482.0,2017_02
ACAPULCO,760795600.0,88909.0,2017_03
ACAPULCO,762151800.0,90179.0,2017_04
ACAPULCO,763950500.0,90302.0,2017_05
ACAPULCO,742053600.0,87110.0,2017_06
ACAPULCO,801009500.0,90561.0,2017_07
ACAPULCO,767779200.0,85800.0,2017_08
ACAPULCO,702351000.0,77672.0,2017_09
ACAPULCO,717103900.0,79348.0,2017_10
ACAPULCO,816278700.0,89969.0,2017_11
ACAPULCO,919063600.0,107648.0,2017_12
ACAPULCO,1354646000.0,139093.0,2018_01
ACAPULCO,1552919150.0,136699.0,2018_02
ACAPULCO,1430949000.0,129099.0,2018_03
ACAPULCO,1107747800.0,109589.0,2018_04
ACAPULCO,1217613100.0,120429.0,2018_05
ACAPULCO,1584564500.0,112631.0,2018_06
ACAPULCO,1925055900.0,121432.0,2018_07
ACAPULCO,1927190700.0,119666.0,2018_08
ACAPULCO,1712171500.0,106213.0,2018_09
ACAPULCO,1859298900.0,115864.0,2018_10
ACAPULCO,1812760800.0,115550.0,2018_11
ACAPULCO,1925974100.0,129337.0,2018_12
AGUAS NEGRAS,2561479700.0,175322.0,2014_01
AGUAS NEGRAS,1987096100.0,111638.0,2014_02
AGUAS NEGRAS,2102758800.0,119312.0,2014_03
AGUAS NEGRAS,2307533200.0,141652.0,2014_04
AGUAS NEGRAS,1298448700.0,82592.0,2014_05
AGUAS NEGRAS,2265932200.0,132517.0,2014_06
AGUAS NEGRAS,2525486800.0,141978.0,2014_07
AGUAS NEGRAS,2293193000.0,131071.0,2014_08
AGUAS NEGRAS,2347483800.0,130525.0,2014_09
AGUAS NEGRAS,2558532300.0,144947.0,2014_10
AGUAS NEGRAS,2089922900.0,121281.0,2014_11
AGUAS NEGRAS,2443851600.0,163462.0,2014_12
AGUAS NEGRAS,2532499000.0,174140.0,2015_01
AGUAS NEGRAS,2221603700.0,117900.0,2015_02
