,NombreEstacionPeaje,Recaudo,Trafico,Cod_fecha,Flag
0,ACAPULCO,0.0,0.0,2014_01,0
1,ACAPULCO,0.0,0.0,2014_02,0
2,ACAPULCO,0.0,0.0,2014_03,0
3,ACAPULCO,0.0,0.0,2014_04,0
4,ACAPULCO,0.0,0.0,2014_05,0
5,ACAPULCO,0.0,0.0,2014_06,0
6,ACAPULCO,0.0,0.0,2014_07,0
7,ACAPULCO,0.0,0.0,2014_08,0
8,ACAPULCO,0.0,0.0,2014_09,0
9,ACAPULCO,0.0,0.0,2014_10,0
10,ACAPULCO,0.0,0.0,2014_11,0
11,ACAPULCO,633225900.0,91790.0,2014_12,0
12,ACAPULCO,655365800.0,92652.0,2015_01,0
13,ACAPULCO,501635500.0,68995.0,2015_02,0
14,ACAPULCO,568536100.0,78311.0,2015_03,0
15,ACAPULCO,556070200.0,76855.0,2015_04,0
16,ACAPULCO,569390900.0,78805.0,2015_05,0
17,ACAPULCO,582916900.0,80921.0,2015_06,0
18,ACAPULCO,601202029.0,82438.0,2015_07,0
19,ACAPULCO,593343500.0,81405.0,2015_08,0
20,ACAPULCO,564905500.0,77309.0,2015_09,0
21,ACAPULCO,613282500.0,84130.0,2015_10,0
22,ACAPULCO,607914900.0,83201.0,2015_11,0
23,ACAPULCO,742967950.0,102465.0,2015_12,0
24,ACAPULCO,734081100.0,97515.0,2016_01,0
25,ACAPULCO,599925400.0,76217.0,2016_02,0
26,ACAPULCO,670704200.0,86264.0,2016_03,0
27,ACAPULCO,588188700.0,75724.0,2016_04,0
28,ACAPULCO,646357200.0,83620.0,2016_05,0
29,ACAPULCO,661336500.0,83344.0,2016_06,0
30,ACAPULCO,699778100.0,90354.0,2016_07,0
31,ACAPULCO,691698200.0,86790.0,2016_08,0
32,ACAPULCO,658577400.0,82716.0,2016_09,0
33,ACAPULCO,709349700.0,88979.0,2016_10,0
34,ACAPULCO,706227000.0,90183.0,2016_11,0
35,ACAPULCO,803528400.0,103942.0,2016_12,0
36,ACAPULCO,826667600.0,103648.0,2017_01,0
37,ACAPULCO,667394100.0,79482.0,2017_02,0
38,ACAPULCO,760795600.0,88909.0,2017_03,0
39,ACAPULCO,762151800.0,90179.0,2017_04,0
40,ACAPULCO,763950500.0,90302.0,2017_05,0
41,ACAPULCO,742053600.0,87110.0,2017_06,0
42,ACAPULCO,801009500.0,90561.0,2017_07,0
43,ACAPULCO,767779200.0,85800.0,2017_08,0
44,ACAPULCO,702351000.0,77672.0,2017_09,0
45,ACAPULCO,717103900.0,79348.0,2017_10,0
46,ACAPULCO,816278700.0,89969.0,2017_11,0
