Centro Poblado,Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,C_Aerodromo,C_Regional,C_Nacional,C_Internacional
MEDELLÍN,True,VOLAR COLOMBIA,52.671796405360496,ALI PIEDRAHITA,62.4509417241662,OLAYA HERRERA,3.07967290965387,JOSE M. CORDOVA,19.783628757643,False,False,True,True
PALMITAS,True,CAROLINA DEL PRINCIPE,61.1834271759248,ALI PIEDRAHITA,49.8592130942614,OLAYA HERRERA,17.5545482812624,JOSE M. CORDOVA,35.590644937635496,False,False,True,True
SANTA ELENA,True,INGENIO PROVIDENCIA,8.0335582287207,FARFAN HERIBERTO GIL MAR,49.1325451748873,BUENAVENTURA-GERARDO TOBAR LOPEZ,86.02446588598329,ALFONSO BONILLA ARAGON,20.528523699408396,True,False,False,True
ALTAVISTA,True,VOLAR COLOMBIA,50.078598426605794,ALI PIEDRAHITA,57.8008021080894,OLAYA HERRERA,4.22878985019279,JOSE M. CORDOVA,23.6406437438212,False,False,True,True
AGUAS FRÍAS,True,VOLAR COLOMBIA,51.181305959040394,ALI PIEDRAHITA,56.8691877620309,OLAYA HERRERA,5.142963621407559,JOSE M. CORDOVA,24.658146579561702,False,False,True,True
LA LOMA,False,NUEVA FORTUNA,704.7457842338631,CAPURGANA,646.870096632668,EL EMBRUJO,97.1154531429532,RAFAEL NUÑEZ,715.8556374280349,False,False,False,False
SAN JOSÉ DEL MANZANILLO,True,VOLAR COLOMBIA,48.1043254331227,ALI PIEDRAHITA,59.8605526752936,OLAYA HERRERA,2.99144141745127,JOSE M. CORDOVA,21.532202680060703,False,False,True,True
BARRO BLANCO,True,SAN BERNARDO,25.369714138898395,LAS BRUJAS,71.82200617291859,LOS GARZONES,144.98926707656602,RAFAEL NUÑEZ,152.24358193344102,True,False,False,False
EL CERRO,True,EL GUAYABAL,71.3016456197922,JUAN CASIANO,109.195513154648,ANTONIO NARIÑO,38.07814342117221,ALFONSO BONILLA ARAGON,240.676994865676,False,False,True,False
EL PATIO,True,VOLAR COLOMBIA,56.331889719649894,ALI PIEDRAHITA,54.411592006031,OLAYA HERRERA,9.264282146121829,JOSE M. CORDOVA,28.189478799548898,False,False,True,True
EL PLACER,True,ORITO,24.855401357849,CANANGUCHAL,70.32747222768121,TRES DE MAYO,53.4799950516356,BENITO SALAS,333.553495297577,True,False,False,False
EL PLAN,True,SAN JUAN DEL CESAR,31.974998019293103,JORGE ISAACS (LA MINA),189.831570369287,ALFONSO LOPEZ PUMAREJO,23.2148253274297,ALMIRANTE PADILLA,119.388680858664,True,False,True,False
LA ALDEA,True,CAROLINA DEL PRINCIPE,62.27057161548839,ALI PIEDRAHITA,48.4078878126795,OLAYA HERRERA,18.4622185732554,JOSE M. CORDOVA,36.7757259740773,False,False,True,True
LA CUCHILLA,True,TUCANES - CA.,16.4074704106921,FARFAN HERIBERTO GIL MAR,43.781699017821396,PERALES,88.70612567379179,MATECAÑA,54.7862858164311,True,False,False,False
LA PALMA,False,EL ALGARROBO,42.1572665358789,LAS BRUJAS,90.10272044644199,LOS GARZONES,115.970716606696,RAFAEL NUÑEZ,210.24929513130297,False,False,False,False
LAS PLAYAS,True,VOLAR COLOMBIA,57.0459346784965,ALI PIEDRAHITA,54.54077879784929,OLAYA HERRERA,9.65002662438781,JOSE M. CORDOVA,28.3493747838485,False,False,True,True
PIEDRA GORDA,True,VOLAR COLOMBIA,52.597410047599105,ALI PIEDRAHITA,71.7770022403824,OLAYA HERRERA,10.3199685335627,JOSE M. CORDOVA,11.416678338129802,False,False,True,True
POTRERITO,True,CENTRAL CASTILLA,12.7458500321159,FARFAN HERIBERTO GIL MAR,75.17852862022659,BUENAVENTURA-GERARDO TOBAR LOPEZ,99.38848948095942,ALFONSO BONILLA ARAGON,25.4230818405123,True,False,False,True
TRAVESÍAS,False,INGENIO RISARALDA,44.029937132710295,CONDOTO MANDINGA,96.4602340923689,LA NUBIA,49.361529467327394,MATECAÑA,53.408117746235895,False,False,False,False
URQUITA,True,CAROLINA DEL PRINCIPE,60.1608542650731,ALI PIEDRAHITA,48.789109023266,OLAYA HERRERA,20.612347485672398,JOSE M. CORDOVA,38.2878996781265,False,False,True,True
BOQUERÓN,True,MAPIRIPAN,37.209613410853294,JORGE E. GONZALEZ T.,34.7579853529652,VANGUARDIA,223.59257371244598,EL DORADO,306.999708172044,True,True,False,False
EL LLANO 1,True,VOLAR COLOMBIA,58.160875282533205,ALI PIEDRAHITA,54.4332081159478,OLAYA HERRERA,10.514880431001,JOSE M. CORDOVA,28.9098649019052,False,False,True,True
EL LLANO,True,EDGAR CALDAS POTES-CA,61.732349039453204,FARFAN HERIBERTO GIL MAR,95.70083274457122,BUENAVENTURA-GERARDO TOBAR LOPEZ,9.92784300922365,ALFONSO BONILLA ARAGON,72.4122624243147,False,False,True,False
LA VERDE,True,CAMPO CAPOTE,38.4233571563125,MORELA,59.3209399239056,YARIGUIES,69.10529064706171,PALONEGRO,110.822180343043,True,False,False,False
MATASANO,True,VOLAR COLOMBIA,55.3096480483066,ALI PIEDRAHITA,71.94881340313592,OLAYA HERRERA,11.5252924894433,JOSE M. CORDOVA,13.075276661061801,False,False,True,True
