codigo_infra,cod_fecha,ruta,cantidad_personas
4JC_O,2018_09,4JCBBA,0.0
4JC_O,2014_03,4JCBEE,0.0
4JC_O,2015_03,4JCBUN,0.0
4JC_O,2015_12,4JCBUN,0.0
4JC_O,2016_05,4JCBUN,0.0
4JC_O,2018_01,4JCBUN,0.0
4JC_O,2014_03,4JCCLO,0.0
4JC_O,2015_05,4JCCLO,0.0
4JC_O,2015_10,4JCCLO,0.0
4JC_O,2017_06,4JCCLO,0.0
7FU_O,2015_12,7FUEYP,0.0
7FU_O,2015_12,7FUPCR,0.0
7FU_O,2017_09,7FUPCR,0.0
7FU_O,2017_04,7FUPIM,0.0
7FU_O,2017_08,7FUPIM,0.0
7FU_O,2016_06,7FUVVC,0.0
7FU_O,2017_09,7FUVVC,0.0
7GC_O,2014_11,7GC7HG,0.0
7GC_O,2015_09,7GC7HG,0.0
7GC_O,2014_02,7GCEYP,0.0
7GC_O,2014_08,7GCEYP,0.0
7GC_O,2014_10,7GCEYP,0.0
7GC_O,2014_12,7GCEYP,0.0
7GC_O,2015_12,7GCEYP,0.0
7GC_O,2017_03,7GCEYP,0.0
7GC_O,2018_09,7GCORC,0.0
7GD_O,2014_03,7GDCTG,0.0
7GD_O,2014_12,7GDEJA,0.0
7GD_O,2015_06,7GDEJA,0.0
7GD_O,2014_08,7GDEOH,0.0
7GD_O,2014_09,7GDEOH,0.0
7GD_O,2014_08,7GDPGT,0.0
7GD_O,2015_03,7GDVVC,0.0
7GD_O,2015_05,7GDVVC,0.0
7GF_O,2014_01,7GFEYP,0.0
7GG_O,2017_12,7GGEJA,0.0
7GG_O,2014_11,7GGGYM,0.0
7GG_O,2017_10,7GGGYM,0.0
7GH_O,2016_01,7GH7HT,0.0
7GH_O,2017_10,7GHIDA,0.0
7GH_O,2017_10,7GHMVP,0.0
7GH_O,2018_06,7GHPCR,0.0
7GH_O,2014_05,7GHVVC,0.0
7GH_O,2014_12,7GHVVC,0.0
7GH_O,2015_10,7GHVVC,0.0
7GH_O,2015_12,7GHVVC,0.0
7GL_O,2015_10,7GL9BF,0.0
7GL_O,2014_11,7GLBAQ,0.0
7GL_O,2018_05,7GLBOG,0.0
7GL_O,2017_03,7GLCTG,0.0
7GL_O,2018_03,7GLCTG,0.0
7GL_O,2015_05,7GLEJA,0.0
7GL_O,2015_11,7GLEOH,0.0
7GL_O,2018_03,7GLEOH,0.0
7GL_O,2018_02,7GLLLO,0.0
7GL_O,2016_06,7GLSMR,0.0
7GL_O,2018_10,7GLSMR,0.0
7GL_O,2017_06,7GLVUP,0.0
7GL_O,2018_03,7GLVUP,0.0
7GL_O,2018_04,7GLVUP,0.0
7GL_O,2018_11,7GLVUP,0.0
7GS_O,2018_01,7GS7HT,0.0
7GS_O,2017_10,7GSACR,0.0
7GS_O,2018_08,7GSARC,0.0
7GS_O,2014_04,7GSGYM,0.0
7GS_O,2015_05,7GSGYM,0.0
7GS_O,2015_06,7GSGYM,0.0
7GS_O,2014_05,7GSLCH,0.0
7GS_O,2017_10,7GSLCH,0.0
7GS_O,2014_03,7GSLET,0.0
7GS_O,2014_05,7GSLET,0.0
7GS_O,2014_06,7GSLET,0.0
7GS_O,2018_05,7GSLET,0.0
7GS_O,2014_09,7GSLEV,0.0
7GS_O,2014_09,7GSMAP,0.0
7GS_O,2018_06,7GSMVP,0.0
7GS_O,2017_10,7GSPCE,0.0
7GS_O,2015_06,7GSPCR,0.0
7GS_O,2018_01,7GSPCR,0.0
7GS_O,2014_03,7GSPIM,0.0
7GS_O,2014_05,7GSPIM,0.0
7GS_O,2015_05,7GSPIM,0.0
7GS_O,2018_01,7GSPIM,0.0
7GS_O,2018_06,7GSSRO,0.0
7GS_O,2018_09,7GSSRO,0.0
7GS_O,2018_04,7GSTAP,0.0
7GS_O,2018_08,7GSTAP,0.0
7GS_O,2014_07,7GSVVC,0.0
7GS_O,2015_03,7GSVVC,0.0
7GS_O,2015_04,7GSVVC,0.0
7GS_O,2015_05,7GSVVC,0.0
7GS_O,2018_11,7GSVVC,0.0
7GV_O,2017_07,7GVEYP,0.0
7GY_O,2018_10,7GYGYM,0.0
7GY_O,2018_12,7GYGYM,0.0
7GZ_O,2018_02,7GZ7ID,0.0
7GZ_O,2017_12,7GZALT,0.0
7GZ_O,2015_01,7GZEYP,0.0
7GZ_O,2015_02,7GZEYP,0.0
7GZ_O,2018_09,7GZEYP,0.0
7GZ_O,2015_07,7GZGYM,0.0
7GZ_O,2017_12,7GZGYM,0.0
7GZ_O,2014_05,7GZVVC,0.0
7GZ_O,2015_05,7GZVVC,0.0
7GZ_O,2015_08,7GZVVC,0.0
7GZ_O,2016_01,7GZVVC,0.0
7GZ_O,2017_09,7GZVVC,0.0
7HB_O,2014_11,7HBVVC,0.0
7HB_O,2015_01,7HBVVC,0.0
7HB_O,2015_03,7HBVVC,0.0
7HB_O,2017_09,7HBVVC,0.0
7HD_O,2015_10,7HDPIM,0.0
7HD_O,2017_02,7HDPIM,0.0
7HF_O,2015_05,7HF7GS,0.0
7HF_O,2015_12,7HFPCE,0.0
7HF_O,2014_03,7HFPIM,0.0
7HF_O,2014_08,7HFPIM,0.0
7HF_O,2014_09,7HFPIM,0.0
7HF_O,2014_10,7HFPIM,0.0
7HF_O,2015_05,7HFPIM,0.0
7HF_O,2015_07,7HFPIM,0.0
7HF_O,2016_02,7HFPIM,0.0
7HF_O,2015_10,7HFVVC,0.0
7HF_O,2016_10,7HFVVC,0.0
7HG_O,2017_09,7HG7HG,0.0
7HG_O,2014_01,7HGCAR,0.0
7HG_O,2015_09,7HGCAR,0.0
7HG_O,2015_11,7HGCAR,0.0
7HG_O,2014_01,7HGEYP,0.0
7HG_O,2014_02,7HGEYP,0.0
7HG_O,2014_05,7HGEYP,0.0
7HG_O,2015_12,7HGEYP,0.0
7HG_O,2016_03,7HGEYP,0.0
7HG_O,2016_08,7HGEYP,0.0
7HG_O,2017_04,7HGEYP,0.0
7HG_O,2015_10,7HGORC,0.0
7HG_O,2018_06,7HGSRO,0.0
7HG_O,2018_06,7HGTDA,0.0
7HG_O,2014_08,7HGTDI,0.0
7HG_O,2016_06,7HGTRI,0.0
7HJ_O,2015_07,7HJEYP,0.0
7HJ_O,2015_08,7HJVVC,0.0
7HM_O,2016_09,7HMPCE,0.0
