,Cod_fecha,Anio,Semestre,Cuadrimestre,Trimestre,Mes
0,2014_01,2014,1,1,1,Enero
1,2014_02,2014,1,1,1,Febreo
2,2014_03,2014,1,1,1,Marzo
3,2014_04,2014,1,1,2,Abril
4,2014_05,2014,1,2,2,Mayo
5,2014_06,2014,1,2,2,Junio
6,2014_07,2014,2,2,3,Julio
7,2014_08,2014,2,2,3,Agosto
8,2014_09,2014,2,3,3,Septiembre
9,2014_10,2014,2,3,4,Octubre
10,2014_11,2014,2,3,4,Noviembre
11,2014_12,2014,2,3,4,Diciembre
12,2015_01,2015,1,1,1,Enero
13,2015_02,2015,1,1,1,Febreo
14,2015_03,2015,1,1,1,Marzo
15,2015_04,2015,1,1,2,Abril
16,2015_05,2015,1,2,2,Mayo
17,2015_06,2015,1,2,2,Junio
18,2015_07,2015,2,2,3,Julio
19,2015_08,2015,2,2,3,Agosto
20,2015_09,2015,2,3,3,Septiembre
21,2015_10,2015,2,3,4,Octubre
22,2015_11,2015,2,3,4,Noviembre
23,2015_12,2015,2,3,4,Diciembre
24,2016_01,2016,1,1,1,Enero
25,2016_02,2016,1,1,1,Febreo
26,2016_03,2016,1,1,1,Marzo
27,2016_04,2016,1,1,2,Abril
28,2016_05,2016,1,2,2,Mayo
29,2016_06,2016,1,2,2,Junio
30,2016_07,2016,2,2,3,Julio
31,2016_08,2016,2,2,3,Agosto
32,2016_09,2016,2,3,3,Septiembre
33,2016_10,2016,2,3,4,Octubre
34,2016_11,2016,2,3,4,Noviembre
35,2016_12,2016,2,3,4,Diciembre
36,2017_01,2017,1,1,1,Enero
37,2017_02,2017,1,1,1,Febreo
38,2017_03,2017,1,1,1,Marzo
39,2017_04,2017,1,1,2,Abril
40,2017_05,2017,1,2,2,Mayo
41,2017_06,2017,1,2,2,Junio
42,2017_07,2017,2,2,3,Julio
43,2017_08,2017,2,2,3,Agosto
44,2017_09,2017,2,3,3,Septiembre
45,2017_10,2017,2,3,4,Octubre
46,2017_11,2017,2,3,4,Noviembre
47,2017_12,2017,2,3,4,Diciembre
48,2018_01,2018,1,1,1,Enero
49,2018_02,2018,1,1,1,Febreo
50,2018_03,2018,1,1,1,Marzo
51,2018_04,2018,1,1,2,Abril
52,2018_05,2018,1,2,2,Mayo
53,2018_06,2018,1,2,2,Junio
54,2018_07,2018,2,2,3,Julio
55,2018_08,2018,2,2,3,Agosto
56,2018_09,2018,2,3,3,Septiembre
57,2018_10,2018,2,3,4,Octubre
58,2018_11,2018,2,3,4,Noviembre
59,2018_12,2018,2,3,4,Diciembre
