Cod_fecha,Anio,Semestre,Cuatrimestre,Trimestre,Mes,Mes_numerico
2014_01,2014,1,1,1,Enero,1
2014_02,2014,1,1,1,Febreo,2
2014_03,2014,1,1,1,Marzo,3
2014_04,2014,1,1,2,Abril,4
2014_05,2014,1,2,2,Mayo,5
2014_06,2014,1,2,2,Junio,6
2014_07,2014,2,2,3,Julio,7
2014_08,2014,2,2,3,Agosto,8
2014_09,2014,2,3,3,Septiembre,9
2014_10,2014,2,3,4,Octubre,10
2014_11,2014,2,3,4,Noviembre,11
2014_12,2014,2,3,4,Diciembre,12
2015_01,2015,1,1,1,Enero,1
2015_02,2015,1,1,1,Febreo,2
2015_03,2015,1,1,1,Marzo,3
2015_04,2015,1,1,2,Abril,4
2015_05,2015,1,2,2,Mayo,5
2015_06,2015,1,2,2,Junio,6
2015_07,2015,2,2,3,Julio,7
2015_08,2015,2,2,3,Agosto,8
2015_09,2015,2,3,3,Septiembre,9
2015_10,2015,2,3,4,Octubre,10
2015_11,2015,2,3,4,Noviembre,11
2015_12,2015,2,3,4,Diciembre,12
2016_01,2016,1,1,1,Enero,1
2016_02,2016,1,1,1,Febreo,2
2016_03,2016,1,1,1,Marzo,3
2016_04,2016,1,1,2,Abril,4
2016_05,2016,1,2,2,Mayo,5
2016_06,2016,1,2,2,Junio,6
2016_07,2016,2,2,3,Julio,7
2016_08,2016,2,2,3,Agosto,8
2016_09,2016,2,3,3,Septiembre,9
2016_10,2016,2,3,4,Octubre,10
2016_11,2016,2,3,4,Noviembre,11
2016_12,2016,2,3,4,Diciembre,12
2017_01,2017,1,1,1,Enero,1
2017_02,2017,1,1,1,Febreo,2
2017_03,2017,1,1,1,Marzo,3
2017_04,2017,1,1,2,Abril,4
2017_05,2017,1,2,2,Mayo,5
2017_06,2017,1,2,2,Junio,6
2017_07,2017,2,2,3,Julio,7
2017_08,2017,2,2,3,Agosto,8
2017_09,2017,2,3,3,Septiembre,9
2017_10,2017,2,3,4,Octubre,10
2017_11,2017,2,3,4,Noviembre,11
2017_12,2017,2,3,4,Diciembre,12
2018_01,2018,1,1,1,Enero,1
2018_02,2018,1,1,1,Febreo,2
2018_03,2018,1,1,1,Marzo,3
2018_04,2018,1,1,2,Abril,4
2018_05,2018,1,2,2,Mayo,5
2018_06,2018,1,2,2,Junio,6
2018_07,2018,2,2,3,Julio,7
2018_08,2018,2,2,3,Agosto,8
2018_09,2018,2,3,3,Septiembre,9
2018_10,2018,2,3,4,Octubre,10
2018_11,2018,2,3,4,Noviembre,11
2018_12,2018,2,3,4,Diciembre,12
