,Cod_fecha,Anio,Semestre,Cuatrimestre,Trimestre,Mes,Mes_numerico
0,2004_01,2004,1,1,1,Enero,01
1,2004_02,2004,1,1,1,Febreo,02
2,2004_03,2004,1,1,1,Marzo,03
3,2004_04,2004,1,1,2,Abril,04
4,2004_05,2004,1,2,2,Mayo,05
5,2004_06,2004,1,2,2,Junio,06
6,2004_07,2004,2,2,3,Julio,07
7,2004_08,2004,2,2,3,Agosto,08
8,2004_09,2004,2,3,3,Septiembre,09
9,2004_10,2004,2,3,4,Octubre,10
10,2004_11,2004,2,3,4,Noviembre,11
11,2004_12,2004,2,3,4,Diciembre,12
12,2005_01,2005,1,1,1,Enero,01
13,2005_02,2005,1,1,1,Febreo,02
14,2005_03,2005,1,1,1,Marzo,03
15,2005_04,2005,1,1,2,Abril,04
16,2005_05,2005,1,2,2,Mayo,05
17,2005_06,2005,1,2,2,Junio,06
18,2005_07,2005,2,2,3,Julio,07
19,2005_08,2005,2,2,3,Agosto,08
20,2005_09,2005,2,3,3,Septiembre,09
21,2005_10,2005,2,3,4,Octubre,10
22,2005_11,2005,2,3,4,Noviembre,11
23,2005_12,2005,2,3,4,Diciembre,12
24,2006_01,2006,1,1,1,Enero,01
25,2006_02,2006,1,1,1,Febreo,02
26,2006_03,2006,1,1,1,Marzo,03
27,2006_04,2006,1,1,2,Abril,04
28,2006_05,2006,1,2,2,Mayo,05
29,2006_06,2006,1,2,2,Junio,06
30,2006_07,2006,2,2,3,Julio,07
31,2006_08,2006,2,2,3,Agosto,08
32,2006_09,2006,2,3,3,Septiembre,09
33,2006_10,2006,2,3,4,Octubre,10
34,2006_11,2006,2,3,4,Noviembre,11
35,2006_12,2006,2,3,4,Diciembre,12
36,2007_01,2007,1,1,1,Enero,01
37,2007_02,2007,1,1,1,Febreo,02
38,2007_03,2007,1,1,1,Marzo,03
39,2007_04,2007,1,1,2,Abril,04
40,2007_05,2007,1,2,2,Mayo,05
41,2007_06,2007,1,2,2,Junio,06
42,2007_07,2007,2,2,3,Julio,07
43,2007_08,2007,2,2,3,Agosto,08
44,2007_09,2007,2,3,3,Septiembre,09
45,2007_10,2007,2,3,4,Octubre,10
46,2007_11,2007,2,3,4,Noviembre,11
47,2007_12,2007,2,3,4,Diciembre,12
48,2008_01,2008,1,1,1,Enero,01
49,2008_02,2008,1,1,1,Febreo,02
50,2008_03,2008,1,1,1,Marzo,03
51,2008_04,2008,1,1,2,Abril,04
52,2008_05,2008,1,2,2,Mayo,05
53,2008_06,2008,1,2,2,Junio,06
54,2008_07,2008,2,2,3,Julio,07
55,2008_08,2008,2,2,3,Agosto,08
56,2008_09,2008,2,3,3,Septiembre,09
57,2008_10,2008,2,3,4,Octubre,10
58,2008_11,2008,2,3,4,Noviembre,11
59,2008_12,2008,2,3,4,Diciembre,12
60,2009_01,2009,1,1,1,Enero,01
61,2009_02,2009,1,1,1,Febreo,02
