Centro Poblado,Aeropuerto,Distancia(Km),Cobertura,Aerodromo,D_Aerodromo,Regional,D_Regional,Nacional,D_Nacional,Internacional,D_Internacional,Tipo_Cobertura
MEDELLÍN,OLAYA HERRERA,3.07967290965387,True,VOLAR COLOMBIA,52.6717964053605,ALI PIEDRAHITA,62.4509417241662,OLAYA HERRERA,3.07967290965387,JOSE M. CORDOVA,19.783628757643,Internacional
PALMITAS,OLAYA HERRERA,17.5545482812624,True,CAROLINA DEL PRINCIPE,61.1834271759248,ALI PIEDRAHITA,49.8592130942614,OLAYA HERRERA,17.5545482812624,JOSE M. CORDOVA,35.5906449376355,Internacional
SANTA ELENA,INGENIO PROVIDENCIA,8.0335582287207,True,INGENIO PROVIDENCIA,8.0335582287207,FARFAN HERIBERTO GIL MAR,49.1325451748873,BUENAVENTURA-GERARDO TOBAR LOPEZ,86.0244658859833,ALFONSO BONILLA ARAGON,20.5285236994084,Internacional
ALTAVISTA,OLAYA HERRERA,4.22878985019279,True,VOLAR COLOMBIA,50.0785984266058,ALI PIEDRAHITA,57.8008021080894,OLAYA HERRERA,4.22878985019279,JOSE M. CORDOVA,23.6406437438212,Internacional
AGUAS FRÍAS,OLAYA HERRERA,5.14296362140756,True,VOLAR COLOMBIA,51.1813059590404,ALI PIEDRAHITA,56.8691877620309,OLAYA HERRERA,5.14296362140756,JOSE M. CORDOVA,24.6581465795617,Internacional
LA LOMA,EL EMBRUJO,97.1154531429532,False,NUEVA FORTUNA,704.745784233863,CAPURGANA,646.870096632668,EL EMBRUJO,97.1154531429532,RAFAEL NUÑEZ,715.855637428035,Sin cobertura
SAN JOSÉ DEL MANZANILLO,OLAYA HERRERA,2.99144141745127,True,VOLAR COLOMBIA,48.1043254331227,ALI PIEDRAHITA,59.8605526752936,OLAYA HERRERA,2.99144141745127,JOSE M. CORDOVA,21.5322026800607,Internacional
BARRO BLANCO,SAN BERNARDO,25.3697141388984,True,SAN BERNARDO,25.3697141388984,LAS BRUJAS,71.8220061729186,LOS GARZONES,144.989267076566,RAFAEL NUÑEZ,152.243581933441,Aeródromo
EL CERRO,ANTONIO NARIÑO,38.0781434211722,True,EL GUAYABAL,71.3016456197922,JUAN CASIANO,109.195513154648,ANTONIO NARIÑO,38.0781434211722,ALFONSO BONILLA ARAGON,240.676994865676,Nacional
EL PATIO,OLAYA HERRERA,9.26428214612183,True,VOLAR COLOMBIA,56.3318897196499,ALI PIEDRAHITA,54.411592006031,OLAYA HERRERA,9.26428214612183,JOSE M. CORDOVA,28.1894787995489,Internacional
EL PLACER,ORITO,24.855401357849,True,ORITO,24.855401357849,CANANGUCHAL,70.3274722276812,TRES DE MAYO,53.4799950516356,BENITO SALAS,333.553495297577,Aeródromo
EL PLAN,ALFONSO LOPEZ PUMAREJO,23.2148253274297,True,SAN JUAN DEL CESAR,31.9749980192931,JORGE ISAACS (LA MINA),189.831570369287,ALFONSO LOPEZ PUMAREJO,23.2148253274297,ALMIRANTE PADILLA,119.388680858664,Nacional
LA ALDEA,OLAYA HERRERA,18.4622185732554,True,CAROLINA DEL PRINCIPE,62.2705716154884,ALI PIEDRAHITA,48.4078878126795,OLAYA HERRERA,18.4622185732554,JOSE M. CORDOVA,36.7757259740773,Internacional
LA CUCHILLA,TUCANES - CA.,16.4074704106921,True,TUCANES - CA.,16.4074704106921,FARFAN HERIBERTO GIL MAR,43.7816990178214,PERALES,88.7061256737918,MATECAÑA,54.7862858164311,Aeródromo
LA PALMA,EL ALGARROBO,42.1572665358789,False,EL ALGARROBO,42.1572665358789,LAS BRUJAS,90.102720446442,LOS GARZONES,115.970716606696,RAFAEL NUÑEZ,210.249295131303,Sin cobertura
LAS PLAYAS,OLAYA HERRERA,9.65002662438781,True,VOLAR COLOMBIA,57.0459346784965,ALI PIEDRAHITA,54.5407787978493,OLAYA HERRERA,9.65002662438781,JOSE M. CORDOVA,28.3493747838485,Internacional
PIEDRA GORDA,OLAYA HERRERA,10.3199685335627,True,VOLAR COLOMBIA,52.5974100475991,ALI PIEDRAHITA,71.7770022403824,OLAYA HERRERA,10.3199685335627,JOSE M. CORDOVA,11.4166783381298,Internacional
POTRERITO,CENTRAL CASTILLA,12.7458500321159,True,CENTRAL CASTILLA,12.7458500321159,FARFAN HERIBERTO GIL MAR,75.1785286202266,BUENAVENTURA-GERARDO TOBAR LOPEZ,99.3884894809594,ALFONSO BONILLA ARAGON,25.4230818405123,Internacional
TRAVESÍAS,INGENIO RISARALDA,44.0299371327103,False,INGENIO RISARALDA,44.0299371327103,CONDOTO MANDINGA,96.4602340923689,LA NUBIA,49.3615294673274,MATECAÑA,53.4081177462359,Sin cobertura
URQUITA,OLAYA HERRERA,20.6123474856724,True,CAROLINA DEL PRINCIPE,60.1608542650731,ALI PIEDRAHITA,48.789109023266,OLAYA HERRERA,20.6123474856724,JOSE M. CORDOVA,38.2878996781265,Internacional
BOQUERÓN,JORGE E. GONZALEZ T.,34.7579853529652,True,MAPIRIPAN,37.2096134108533,JORGE E. GONZALEZ T.,34.7579853529652,VANGUARDIA,223.592573712446,EL DORADO,306.999708172044,Regional
EL LLANO 1,OLAYA HERRERA,10.514880431001,True,VOLAR COLOMBIA,58.1608752825332,ALI PIEDRAHITA,54.4332081159478,OLAYA HERRERA,10.514880431001,JOSE M. CORDOVA,28.9098649019052,Internacional
EL LLANO,BUENAVENTURA-GERARDO TOBAR LOPEZ,9.92784300922365,True,EDGAR CALDAS POTES-CA,61.7323490394532,FARFAN HERIBERTO GIL MAR,95.7008327445712,BUENAVENTURA-GERARDO TOBAR LOPEZ,9.92784300922365,ALFONSO BONILLA ARAGON,72.4122624243147,Nacional
LA VERDE,CAMPO CAPOTE,38.4233571563125,True,CAMPO CAPOTE,38.4233571563125,MORELA,59.3209399239056,YARIGUIES,69.1052906470617,PALONEGRO,110.822180343043,Aeródromo
MATASANO,OLAYA HERRERA,11.5252924894433,True,VOLAR COLOMBIA,55.3096480483066,ALI PIEDRAHITA,71.9488134031359,OLAYA HERRERA,11.5252924894433,JOSE M. CORDOVA,13.0752766610618,Internacional
MATASANO 2,OLAYA HERRERA,10.7448278167715,True,VOLAR COLOMBIA,55.9631977082415,ALI PIEDRAHITA,70.5495543043363,OLAYA HERRERA,10.7448278167715,JOSE M. CORDOVA,14.6228595005956,Internacional
MAZO,OLAYA HERRERA,10.5985800761577,True,VOLAR COLOMBIA,54.0421370410592,ALI PIEDRAHITA,71.5184667069732,OLAYA HERRERA,10.5985800761577,JOSE M. CORDOVA,12.5274725381171,Internacional
MEDIA LUNA,PUERTO BOLIVAR,2.63524749358664,True,MANAURE,66.8361692006591,PUERTO BOLIVAR,2.63524749358664,ALFONSO LOPEZ PUMAREJO,241.561849280404,ALMIRANTE PADILLA,127.365043931475,Regional
LAS CAMELIAS,MORICHITO,14.895444916699,True,MORICHITO,14.895444916699,GUSTAVO VARGAS,46.7086926843324,EL ALCARAVAN,99.6661947344119,PALONEGRO,190.517179830657,Aeródromo
ABEJORRAL,VOLAR COLOMBIA,19.3584103763782,True,VOLAR COLOMBIA,19.3584103763782,JOSE CELESTINO,88.0423778211631,OLAYA HERRERA,51.1607573412742,JOSE M. CORDOVA,41.724663600618,Aeródromo
PANTANILLO,EL SANTUARIO,35.7380470663102,True,EL SANTUARIO,35.7380470663102,JOSE CELESTINO,58.5921914194805,PERALES,91.983324495503,EL DORADO,40.8977809137246,Aeródromo
NARANJAL - LAS FONDAS,VOLAR COLOMBIA,9.89127196145507,True,VOLAR COLOMBIA,9.89127196145507,JOSE CELESTINO,92.8491782293715,OLAYA HERRERA,51.5093658671044,JOSE M. CORDOVA,45.7245736291976,Aeródromo
LAS CANOAS,NUEVA ROMA,34.4728908947269,True,NUEVA ROMA,34.4728908947269,LAS BRUJAS,132.441246675237,ALFONSO LOPEZ PUMAREJO,137.994259877552,ERNESTO CORTISSOZ,79.4776232471418,Aeródromo
ABRIAQUÍ,FRONTINO EL PLATEADO,13.5060170754096,True,FRONTINO EL PLATEADO,13.5060170754096,ALI PIEDRAHITA,34.8904344252545,OLAYA HERRERA,69.5657389192951,JOSE M. CORDOVA,87.9103080070144,Regional
POTREROS SECTOR 1,FRONTINO EL PLATEADO,8.2348393884763,True,FRONTINO EL PLATEADO,8.2348393884763,ALI PIEDRAHITA,39.02177131052,OLAYA HERRERA,74.7608145037631,JOSE M. CORDOVA,92.939564576976,Regional
ALEJANDRÍA,NUEVA ROMA,25.8580598699215,True,NUEVA ROMA,25.8580598699215,LAS BRUJAS,145.491742855807,ALFONSO LOPEZ PUMAREJO,109.256012494505,ERNESTO CORTISSOZ,131.095226009146,Aeródromo
AMAGÁ,OLAYA HERRERA,23.6602573620911,True,VOLAR COLOMBIA,31.4654695388893,ALI PIEDRAHITA,58.1701727255231,OLAYA HERRERA,23.6602573620911,JOSE M. CORDOVA,33.8606519311466,Internacional
CAMILO C,OLAYA HERRERA,24.6341700197589,True,VOLAR COLOMBIA,30.0675352153467,ALI PIEDRAHITA,59.2407419617005,OLAYA HERRERA,24.6341700197589,JOSE M. CORDOVA,34.0978975706171,Internacional
LA CLARITA,OLAYA HERRERA,20.7293556952629,True,VOLAR COLOMBIA,34.5418036245574,ALI PIEDRAHITA,56.6118022068518,OLAYA HERRERA,20.7293556952629,JOSE M. CORDOVA,32.3819342977452,Internacional
LA FERREIRA,OLAYA HERRERA,21.8526795742475,True,VOLAR COLOMBIA,34.3101833140884,ALI PIEDRAHITA,56.0162837103867,OLAYA HERRERA,21.8526795742475,JOSE M. CORDOVA,33.5888126459577,Internacional
LA GUALÍ,OLAYA HERRERA,22.2361264640683,True,VOLAR COLOMBIA,33.590287064109,ALI PIEDRAHITA,56.5951880836468,OLAYA HERRERA,22.2361264640683,JOSE M. CORDOVA,33.5702566083406,Internacional
PIEDECUESTA,JOSE CELESTINO,13.5159849488022,True,GANADERIA EL TRIUNFO,22.9270547733822,JOSE CELESTINO,13.5159849488022,LA NUBIA,56.3136993029632,MATECAÑA,92.269217233967,Regional
MINAS,LA JAGUA,22.4212240614171,True,LA JAGUA,22.4212240614171,CONTADOR,47.4963300040789,GUSTAVO ARTUNDUAGA PAREDES,79.3724182759263,BENITO SALAS,102.960761633098,Aeródromo
CAMILO C - ALTO DE LA VIRGEN,OLAYA HERRERA,24.8264099605924,True,VOLAR COLOMBIA,30.3146924690805,ALI PIEDRAHITA,58.7809072208899,OLAYA HERRERA,24.8264099605924,JOSE M. CORDOVA,34.5243587445395,Internacional
PIEDECUESTA - MANI DE LAS CASAS,OLAYA HERRERA,21.6616445915974,True,VOLAR COLOMBIA,32.8778748045543,ALI PIEDRAHITA,57.9501749486815,OLAYA HERRERA,21.6616445915974,JOSE M. CORDOVA,32.3342095484848,Internacional
AMALFI,EL RIO,4.29901138791201,True,EL RIO,4.29901138791201,REMEDIOS OTU,41.9482926846517,OLAYA HERRERA,95.2190706770922,JOSE M. CORDOVA,91.2632551082593,Aeródromo
PORTACHUELO,LAS ACACIAS,15.0232336608814,True,LAS ACACIAS,15.0232336608814,JOSE CELESTINO,100.039456069255,VANGUARDIA,102.44029304631,EL DORADO,37.0397458403249,Internacional
ANDES,COVEÑAS,27.1492860624885,True,COVEÑAS,27.1492860624885,LAS BRUJAS,27.5673845659978,LOS GARZONES,56.7146143001852,RAFAEL NUÑEZ,134.717844147313,Regional
BUENOS AIRES,MIRAFLORES,12.8053573120426,True,MIRAFLORES,12.8053573120426,JORGE E. GONZALEZ T.,151.396854267359,VANGUARDIA,358.564517029065,BENITO SALAS,413.305892511192,Aeródromo
SAN JOSÉ,JAMAICA,1.77290039872068,True,JAMAICA,1.77290039872068,ALBERTO LLERAS CAMARGO,85.4589169488072,EL ALCARAVAN,25.6443062379857,EL DORADO,192.241020994714,Nacional
SANTA RITA,JIBICI,2.95561473946641,True,JIBICI,2.95561473946641,CESAR GAVIRIA TRUJILLO,123.436142364873,SANTIAGO PEREZ QUIROZ,358.897833329257,CAMILO DAZA,570.749987436573,Aeródromo
TAPARTÓ,VOLAR COLOMBIA,40.8617435448358,False,VOLAR COLOMBIA,40.8617435448358,ALI PIEDRAHITA,72.3128111667777,OLAYA HERRERA,71.086682484238,JOSE M. CORDOVA,79.0642864293179,Sin cobertura
