No.,SiglaProyecto,NombreProyecto,NombreEstacionPeaje,2016Ene,2016Feb,2016Mar,2016Abr,2016May,2016Jun,2016Jul,2016Ago,2016Sep,2016Oct,2016Nov,2016Dic,2017Ene,2017Feb,2017Mar,2017Abr,2017May,2017Jun,2017Jul,2017Ago,2017Sep,2017Oct,2017Nov,2017Dic,2018Ene,2018Feb,2018Mar,2018Abr,2018May,2018Jun,2018Jul,2018Ago,2018Sept,2018Oct,2018Nov,2018Dic
1,APM,ARMENIA-PEREIRA-MANIZALES,CIRCASIA,3614918500,2675283600,3233860750,2725188800,2984502550,3021552700,3220751150,3204525450,2906311100,3222635250,3113659120,3675874300,3953163400,2888930300,3176046650,3453043050,3159697000,3384741200,3562876200,3476868900,3195157400,3517923370,3441269350,4130670750,4267344100,3116539000,3802843200,3356896500,3410025000,3051586300,3868945900,3771508400,3540187200,3772124800,3679215050,4494666650
2,APM,ARMENIA-PEREIRA-MANIZALES,COROZAL,3565459400,2899965050,3322409400,3068723250,3230205400,2984891300,2950556850,3731114500,3307348950,3392264650,3321513100,3637281950,3736296200,3041001950,3217368250,3438924750,2821558350,3531966900,3687118300,3539821600,3391085150,3557265000,3374160450,3664264400,3892552950,3196588900,3578435500,3420228150,3451471000,3089045850,3780860150,3777690800,3626748800,3909313050,3704525800,3908438450
3,APM,ARMENIA-PEREIRA-MANIZALES,PAVAS,1263045800,927129900,1058280400,938313300,995875200,975504900,1056001800,1077139200,1012797300,1126734400,1077655300,1237888500,1385248700,995191400,1109603500,1159020000,1412587450,1167218200,1212620300,1221717800,1136001800,1246243300,1376032200,1436268750,1575622400,1245886900,1380586900,1249898200,1309048100,1100823200,1376492200,1355024700,1209368600,1316777650,1266961800,1449756600
4,APM,ARMENIA-PEREIRA-MANIZALES,SAN BERNARDO,1025435600,782294900,923841000,787491600,901304700,851650800,943822100,969326650,875512800,969258150,939378700,1174154700,1164878250,866150000,935200400,898458900,882353150,979398100,1058363350,1014316950,909445900,980525050,973853500,1217305300,1004673650,512294600,787570000,745732650,682533450,628437400,776425900,772941500,742532950,822623350,837985800,1058718950
5,APM,ARMENIA-PEREIRA-MANIZALES,SANTAGUEDA,1909011050,1457632300,1749069850,1418827800,1553020500,1337361550,1426173000,1884098100,1564136050,1661897750,1563744100,1807995450,1943588550,1443673000,1533398800,1649211550,1429705200,1699698200,1708071700,1723681450,1575441400,1675976600,1619146100,1836401200,1280487850,161118900,739616950,1108756950,950100100,867523700,1134173550,1170848650,1063057700,1135105100,1093613250,1402448000
6,APM,ARMENIA-PEREIRA-MANIZALES,TARAPACA I,1637781500,1410076200,1499270100,1404723650,1447546650,1196914350,1282530800,2310237250,2375926800,1667083700,1577941100,1669372750,1789732300,1531048400,1576521200,1543931150,1512758750,1609667600,1654451450,1660976750,1570024600,1615785800,1550312100,1770101450,1549008250,964530100,1106480800,1276506800,1276728900,1051015050,1294944100,1314480900,1246789200,1311233900,1248609900,1382736100
7,APM,ARMENIA-PEREIRA-MANIZALES,TARAPACA II,3521795900,2663009200,3156702300,2708495250,2958221050,2823149200,2949938150,2600775650,2012433900,3006125300,2907604150,3429870700,3669685950,2655409200,2946650650,3127333550,2987355700,3237537600,3329230400,3267919850,2987020400,3260987400,3260122000,3762435000,3501973950,2137592750,3021752850,2986138950,2962921000,2630667350,3309310900,3265496920,2951339550,3192714200,3099873450,3741410950
8,SV,BOGOTÁ - SIBERIA - LA PUNTA - EL VINO - VILLETA,CAIQUERO,2697993900,1713553500,2249529000,1722131000,1953870100,2049783000,2340131400,2119321100,1844934500,2186347300,2139540600,2677938000,2951261200,1827939600,2047183500,2367093600,2037190500,2334040000,2406472700,2366753300,2007601800,2413424000,2327374300,3043060300,3191132000,1969910900,2560241500,2190464000,2213739900,2504217500,2677518700,2513286500,2199666500,2502540000,2485043300,3194011000
9,SV,BOGOTÁ - SIBERIA - LA PUNTA - EL VINO - VILLETA,SIBERIA,5765465800,4637033700,5428431300,4849502500,5272959500,5275830900,5715199200,5382663500,4874961500,5387707900,5121574700,5885660300,5972806000,4650096500,5214721500,5539743000,5366524700,5569427400,5765286900,5741485500,5198974300,5837034200,5690321000,6650441200,6544320100,5119903100,6072689200,5539762400,5688328100,6033830200,6338876200,6214521600,5754896300,6142474200,6031481900,7088451900
,BV,BOGOTÁ - VILLAVICENCIO,BOQUERON I Y BOQUERON II,7536085700,6216209400,6709165400,5917139500,5962423900,5861111200,5645120200,6164949900,5969096000,6318608100,6216527300,7219417200,7119527900,5620809000,6497753800,6554078200,6214560300,6184240300,6309341000,6640227100,6222837900,6723283900,6532960600,7678605300,7475774400,5452340300,6745789600,6251286600,6112056100,6316902900,6413535200,5678996200,5820622000,6887029700,6858445000,7799783800
