,NombreEstacionPeaje,Recaudo,Tráfico,Cod_fecha
0,CIRCASIA,3614918500,272350.0,2016Ene
1,CIRCASIA,2675283600,191931.0,2016Feb
2,CIRCASIA,3233860750,237172.0,2016Mar
3,CIRCASIA,2725188800,196234.0,2016Abr
4,CIRCASIA,2984502550,216590.0,2016May
5,CIRCASIA,3021552700,219414.0,2016Jun
6,CIRCASIA,3220751150,237731.0,2016Jul
7,CIRCASIA,3204525450,230308.0,2016Ago
8,CIRCASIA,2906311100,207972.0,2016Sep
9,CIRCASIA,3222635250,233360.0,2016Oct
10,CIRCASIA,3113659120,224161.0,2016Nov
11,CIRCASIA,3675874300,269845.0,2016Dic
12,CIRCASIA,3953163400,9059.516129032258,2017Ene
13,CIRCASIA,2888930300,7006.857142857143,2017Feb
14,CIRCASIA,3176046650,7005.709677419355,2017Mar
15,CIRCASIA,3453043050,7992.266666666666,2017Abr
16,CIRCASIA,3159697000,7020.387096774193,2017May
17,CIRCASIA,3384741200,7778.3,2017Jun
18,CIRCASIA,3562876200,7939.645161290323,2017Jul
19,CIRCASIA,3476868900,7736.935483870968,2017Ago
20,CIRCASIA,3195157400,7250.3,2017Sep
21,CIRCASIA,3517923370,7765.741935483871,2017Oct
22,CIRCASIA,3441269350,7780.2,2017Nov
23,CIRCASIA,4130670750,9293.09677419355,2017Dic
24,CIRCASIA,4267344100,289888.0,2018Ene
25,CIRCASIA,3116539000,203841.0,2018Feb
26,CIRCASIA,3802843200,254102.0,2018Mar
27,CIRCASIA,3356896500,219547.0,2018Abr
28,CIRCASIA,3410025000,222486.0,2018May
29,CIRCASIA,3051586300,199905.0,2018Jun
30,CIRCASIA,3868945900,256688.0,2018Jul
31,CIRCASIA,3771508400,247892.0,2018Ago
32,CIRCASIA,3540187200,230464.0,2018Sept
33,CIRCASIA,3772124800,247173.0,2018Oct
34,CIRCASIA,3679215050,240944.0,2018Nov
35,CIRCASIA,4494666650,300383.0,2018Dic
36,COROZAL,3565459400,229713.0,2016Ene
37,COROZAL,2899965050,159011.0,2016Feb
38,COROZAL,3322409400,201959.0,2016Mar
39,COROZAL,3068723250,163674.0,2016Abr
40,COROZAL,3230205400,181470.0,2016May
41,COROZAL,2984891300,174883.0,2016Jun
42,COROZAL,2950556850,186880.0,2016Jul
43,COROZAL,3731114500,204749.0,2016Ago
44,COROZAL,3307348950,179382.0,2016Sep
45,COROZAL,3392264650,193508.0,2016Oct
46,COROZAL,3321513100,186849.0,2016Nov
47,COROZAL,3637281950,220990.0,2016Dic
48,COROZAL,3736296200,7367.935483870968,2017Ene
49,COROZAL,3041001950,5706.607142857143,2017Feb
